"year","genus","species","researcher","location","field_chambers","treatment_type_1","treatment_1","treatment_type_2","treatment_2","treatment_type_3","Treatment_3","field_mean_max_temperature_C","field_mean_min_temperature_C","field_length_days","field_number_seeds","field_seeds_scaled_viability","field_seeds_lost","field_number_germinants","field_number_nongerminant_nonviable","chamber_temperature_day","chamber_temperature_night","chamber_light_hrs","chamber_length_days","chamber_number_seeds","chamber_number_germinants","chamber_number_nongerminant_nonviable","TZ_number_stained","TZ_number_viable","TZ_number_nonviable","x_ray_number_seeds","x_ray_number_viable","NOTES","sp_code","evidence_site","germ_trials","germ_success","germ_fail","germ_frac_row"
2014,"trachymene","cyanopetala","Claire_Wainwright","Kunjin","field",NA,NA,NA,NA,NA,NA,28.9,13.6,240,30,NA,0,2,15,NA,NA,NA,NA,NA,NA,NA,13,1,12,NA,NA,NA,"TRCY","BEN",30,2,28,0.0666666666666667
2014,"trachymene","cyanopetala","Claire_Wainwright","Kunjin","field",NA,NA,NA,NA,NA,NA,28.9,13.6,240,30,NA,2,1,8,NA,NA,NA,NA,NA,NA,NA,19,0,19,NA,NA,NA,"TRCY","BEN",30,1,29,0.0333333333333333
2014,"trachymene","cyanopetala","Claire_Wainwright","Perenjori","field",NA,NA,NA,NA,NA,NA,28.9,13.6,240,30,NA,0,1,11,NA,NA,NA,NA,NA,NA,NA,18,0,18,NA,NA,NA,"TRCY","PJ",30,1,29,0.0333333333333333
2014,"trachymene","cyanopetala","Claire_Wainwright","Perenjori","field",NA,NA,NA,NA,NA,NA,28.9,13.6,240,30,NA,0,9,7,NA,NA,NA,NA,NA,NA,NA,14,0,14,NA,NA,NA,"TRCY","PJ",30,9,21,0.3
2014,"trachymene","cyanopetala","Claire_Wainwright","Perenjori","field",NA,NA,NA,NA,NA,NA,28.9,13.6,240,30,NA,0,11,7,NA,NA,NA,NA,NA,NA,NA,12,0,12,NA,NA,NA,"TRCY","PJ",30,11,19,0.366666666666667
2014,"trachymene","cyanopetala","Claire_Wainwright","Perenjori","field",NA,NA,NA,NA,NA,NA,28.9,13.6,240,30,NA,0,10,10,NA,NA,NA,NA,NA,NA,NA,10,0,10,NA,NA,NA,"TRCY","PJ",30,10,20,0.333333333333333
2014,"trachymene","ornata","Claire_Wainwright","Kunjin","field",NA,NA,NA,NA,NA,NA,28.9,13.6,240,30,NA,0,1,3,NA,NA,NA,NA,NA,NA,NA,26,1,25,NA,NA,NA,"TROR","BEN",30,1,29,0.0333333333333333
2014,"trachymene","ornata","Claire_Wainwright","Kunjin","field",NA,NA,NA,NA,NA,NA,28.9,13.6,240,30,NA,1,2,5,NA,NA,NA,NA,NA,NA,NA,22,0,22,NA,NA,NA,"TROR","BEN",30,2,28,0.0666666666666667
2014,"trachymene","ornata","Claire_Wainwright","Kunjin","field",NA,NA,NA,NA,NA,NA,28.9,13.6,240,30,NA,0,11,6,NA,NA,NA,NA,NA,NA,NA,13,0,13,NA,NA,NA,"TROR","BEN",30,11,19,0.366666666666667
2014,"trachymene","ornata","Claire_Wainwright","Perenjori","field",NA,NA,NA,NA,NA,NA,28.9,13.6,240,30,NA,0,3,15,NA,NA,NA,NA,NA,NA,NA,12,0,12,NA,NA,NA,"TROR","PJ",30,3,27,0.1
