"evidence_site","location","researcher","field_chambers","sp_code","n"
"PJ","Perenjori","Isaac_Towers","field","TROR",96
"PJ","Perenjori","Isaac_Towers","field","TRCY",92
"PJ","Perenjori","Maia_Raymundo","field","TRCY",30
"PJ","Perenjori","Maia_Raymundo","field","TROR",30
"PJ","Perenjori","Trace_Martyn","field","TRCY",19
"PJ","Perenjori","Trace_Martyn","field","TROR",19
"BEN","Kunjin","Claire_Wainwright","field","TRCY",5
"BEN","Kunjin","Claire_Wainwright","field","TROR",5
"BEN","Kunjin","Hao_Ran","field","TRCY",5
"PJ","Perenjori","Claire_Wainwright","field","TRCY",5
"PJ","Perenjori","Claire_Wainwright","field","TROR",5
"BEN","Kunjin","Hao_Ran","field","TROR",4
