"Site","Cov","fac_sc","niche_med","niche_lwr","niche_upr","fit_med","fit_lwr","fit_upr","p_coexist","p_TRCY_wins","p_TROR_wins","p_priority","mean_g_TROR","mean_g_TRCY","n_obs","max_support","most_supported_outcome","outcome_90"
"BEN","SH",0,0.0242380590519248,-1.65993021160467,0.618333552232824,0.696363153869199,-29.5147314146244,28.7741708850664,0.056,0.440625,0.557,0,0.16328466291052,0.0650219404604837,128,0.557,"TROR_wins","ambiguous"
"BEN","SH",1,0.0242380590519248,-1.65993021160467,0.618333552232824,-0.478946028725563,-21.7141822239458,24.0923658691234,0.040625,0.297625,0.697125,0,0.16328466291052,0.0650219404604837,13,0.697125,"TROR_wins","ambiguous"
"BEN","SH",2,0.0242380590519248,-1.65993021160467,0.618333552232824,-0.35091109583342,-13.2868114755088,12.9984243750165,0.03575,0.201375,0.791,0,0.16328466291052,0.0650219404604837,5,0.791,"TROR_wins","ambiguous"
"BEN","SH",3,0.0242380590519248,-1.65993021160467,0.618333552232824,-0.169256384259647,-9.11000322794231,8.66870737213323,0.038375,0.164,0.828375,0,0.16328466291052,0.0650219404604837,5,0.828375,"TROR_wins","ambiguous"
"BEN","SH",4,0.0242380590519248,-1.65993021160467,0.618333552232824,-0.0400791999797562,-6.98004125604286,7.43675395538283,0.042625,0.159875,0.834375,0,0.16328466291052,0.0650219404604837,2,0.834375,"TROR_wins","ambiguous"
"BEN","SH",5,0.0242380590519248,-1.65993021160467,0.618333552232824,0.042557899341913,-6.39949971605602,8.2969604235142,0.0505,0.175,0.82,0,0.16328466291052,0.0650219404604837,2,0.82,"TROR_wins","ambiguous"
"BEN","SUN",0,0.0242380590519248,-1.65993021160467,0.618333552232824,-0.242008900246978,-8.90627276930119,8.53676286844548,0.033375,0.136,0.855875,0,0.16328466291052,0.0650219404604837,37,0.855875,"TROR_wins","ambiguous"
"BEN","SUN",1,0.0242380590519248,-1.65993021160467,0.618333552232824,-0.210313809168163,-8.61880997294787,7.2826049062628,0.03675,0.13625,0.855,0,0.16328466291052,0.0650219404604837,26,0.855,"TROR_wins","ambiguous"
"BEN","SUN",2,0.0242380590519248,-1.65993021160467,0.618333552232824,-0.164250874712792,-7.8327281181392,7.72825704914984,0.039375,0.144,0.848125,0,0.16328466291052,0.0650219404604837,28,0.848125,"TROR_wins","ambiguous"
"BEN","SUN",3,0.0242380590519248,-1.65993021160467,0.618333552232824,-0.1159454246847,-8.04056955716806,6.96329600747592,0.04375,0.152,0.83925,0,0.16328466291052,0.0650219404604837,10,0.83925,"TROR_wins","ambiguous"
