"focsp","Site","Cov","fac_sc","lambda_med","lambda_lwr","lambda_upr"
"TRCY","BEN","SH",0,5.1050009448832,1.73878111390744,8.16033988300636
"TRCY","BEN","SH",0.0526315789473684,5.17451619531709,1.7600352538909,8.24418338290059
"TRCY","BEN","SH",0.114285714285714,5.26036252284349,1.7790489192468,8.35451263710335
"TRCY","BEN","SH",0.131147540983607,5.28103619563085,1.78641450525309,8.38185044834267
"TRCY","BEN","SH",0.227722772277228,5.41005640472286,1.82988115059819,8.60023532663546
"TRCY","BEN","SH",0.348837209302326,5.57388784853307,1.88363918408679,8.89781096319408
"TRCY","BEN","SH",0.361290322580645,5.5889019701818,1.88934666130231,8.92265208184814
"TRCY","BEN","SH",0.58695652173913,5.90926342868221,1.99252996123769,9.44174198036659
"TRCY","BEN","SH",0.797814207650273,6.23505855908017,2.09000779526515,10.045696857021
"TRCY","BEN","SH",1,6.5536937089477,2.17491091318788,10.6831260348637
"TRCY","BEN","SH",2,8.40913031075931,2.75749895919531,14.9089899861283
"TRCY","BEN","SH",3,10.8108385937447,3.32887088739819,21.8019817845476
"TRCY","BEN","SH",3.91428571428571,13.5763188755872,3.90213256774102,31.4720399968384
"TRCY","BEN","SH",4,13.8952232541451,3.96212464247578,32.6754877270283
"TRCY","BEN","SH",5,17.8315100256118,4.54738395848632,49.3131456831956
"TRCY","BEN","SH",6,22.8101582270907,5.14888106077025,74.9390686046915
"TRCY","BEN","SH",7,29.2516246341237,5.82352974088136,115.334359161553
"TRCY","BEN","SH",8,37.4523725924059,6.45649170969379,178.310264329643
"TRCY","BEN","SH",9,48.2242489691893,7.00949305032127,275.077760724293
"TRCY","BEN","SH",10,62.0246653602909,7.44781395055088,429.04089992553
"TRCY","BEN","SH",17,368.441887885383,12.1931091814679,9334.18593483101
"TRCY","BEN","SUN",0,10.8460193109599,3.66666516205071,17.4840056693783
"TRCY","BEN","SUN",0.0526315789473684,10.8831144274842,3.68346798105814,17.5291696745158
"TRCY","BEN","SUN",0.114285714285714,10.9318434621791,3.69628666143141,17.5687932451507
"TRCY","BEN","SUN",0.131147540983607,10.9442866870237,3.69673255179028,17.5767026465075
"TRCY","BEN","SUN",0.227722772277228,11.012265148191,3.6994687769557,17.6442309840398
"TRCY","BEN","SUN",0.348837209302326,11.087349999183,3.73124581441515,17.7840375184568
"TRCY","BEN","SUN",0.361290322580645,11.0962632406198,3.73472303229498,17.7894309968187
"TRCY","BEN","SUN",0.58695652173913,11.2694523207717,3.81529407877847,17.9860997473899
"TRCY","BEN","SUN",0.797814207650273,11.4259559042406,3.85319218414968,18.1800156606398
"TRCY","BEN","SUN",1,11.5604018700477,3.88998591103636,18.4013309531506
"TRCY","BEN","SUN",2,12.2938565911832,4.07149875891658,19.6749943104444
"TRCY","BEN","SUN",3,13.0455387055974,4.22897945487149,21.2845408361474
"TRCY","BEN","SUN",3.91428571428571,13.7904057431548,4.36217932519375,23.480341423025
"TRCY","BEN","SUN",4,13.855100279133,4.35393863099528,23.7460165601949
"TRCY","BEN","SUN",5,14.7174228105558,4.58827584799989,26.4885283467894
"TRCY","BEN","SUN",6,15.5603798563172,4.81159508682527,30.0913027297251
"TRCY","BEN","SUN",7,16.5049856686093,4.93504697355814,34.6804970652228
"TRCY","BEN","SUN",8,17.5498246722017,4.99125328986562,39.6669631996247
"TRCY","BEN","SUN",9,18.6811974083932,5.02861404282522,45.922420099979
"TRCY","BEN","SUN",10,19.8795310712784,5.15351058433727,53.4274804676581
"TRCY","BEN","SUN",17,30.480987225377,4.40316111411336,157.133769627461
"TRCY","CS","SH",0,1.39795530871523,0.439255250478591,2.53382430136969
"TRCY","CS","SH",0.0526315789473684,1.3437747470454,0.419061172159651,2.41290424185212
"TRCY","CS","SH",0.114285714285714,1.28737833495091,0.394775575674313,2.32634601267909
"TRCY","CS","SH",0.131147540983607,1.27222152081863,0.390813358566828,2.31850535274451
"TRCY","CS","SH",0.227722772277228,1.18583385159671,0.344423268490492,2.24550334634115
"TRCY","CS","SH",0.348837209302326,1.0954416555062,0.292821988598568,2.22569495397328
"TRCY","CS","SH",0.361290322580645,1.08485054617844,0.288479001069616,2.22576216293313
"TRCY","CS","SH",0.58695652173913,0.942405605817991,0.191539929080046,2.32196957035722
"TRCY","CS","SH",0.797814207650273,0.82319236415324,0.120099802558844,2.47505631033315
"TRCY","CS","SH",1,0.723679782884494,0.0737009112892715,2.67065841767566
"TRCY","CS","SH",2,0.387061277411268,0.00560451027419068,4.28408951795663
"TRCY","CS","SH",3,0.206728452578522,0.000407813273358063,7.31662397135219
"TRCY","CS","SH",3.91428571428571,0.11699661276523,3.55914829826743e-05,12.2680943507271
"TRCY","CS","SH",4,0.111174061383075,2.8193373461345e-05,12.8875872354966
"TRCY","CS","SH",5,0.0587383833911499,1.91821908551053e-06,22.5273122365031
"TRCY","CS","SH",6,0.0311184515009319,1.27543024376048e-07,39.1422186625724
"TRCY","CS","SH",7,0.0163943078871917,9.00753698901817e-09,68.7893313298602
"TRCY","CS","SH",8,0.00875186389199589,5.9330511815858e-10,120.924062572285
"TRCY","CS","SH",9,0.00471567167065467,3.90197747624588e-11,214.154264322242
"TRCY","CS","SH",10,0.00250392184794173,2.56620664361595e-12,373.664978398196
"TRCY","CS","SH",17,3.19657825594238e-05,1.5660847063602e-20,18164.1592327439
"TRCY","CS","SUN",0,2.98357423944546,0.939197456885328,5.28516730046278
"TRCY","CS","SUN",0.0526315789473684,2.84292151366749,0.893183449047765,4.983585165645
"TRCY","CS","SUN",0.114285714285714,2.68667797513658,0.832413108202205,4.76533421446376
"TRCY","CS","SUN",0.131147540983607,2.64273129620808,0.812678029438905,4.71191393818754
"TRCY","CS","SUN",0.227722772277228,2.42573536204924,0.710484557570597,4.52099691933557
"TRCY","CS","SUN",0.348837209302326,2.18334703294941,0.590651887079167,4.37795887040867
"TRCY","CS","SUN",0.361290322580645,2.16126276352487,0.579756436293926,4.36835933586264
"TRCY","CS","SUN",0.58695652173913,1.79150467229771,0.362927741142098,4.27750363856744
"TRCY","CS","SUN",0.797814207650273,1.4990471461316,0.215436396057714,4.37990246233232
"TRCY","CS","SUN",1,1.27326201539743,0.13126117632911,4.57605346244883
"TRCY","CS","SUN",2,0.563566059780825,0.00794425987951881,5.99214976631824
"TRCY","CS","SUN",3,0.248845130392879,0.00044178038780639,8.45484299724744
"TRCY","CS","SUN",3.91428571428571,0.117014834383208,3.24311928558357e-05,11.6270789060765
"TRCY","CS","SUN",4,0.109158712921773,2.50512485833867e-05,11.9016616677167
"TRCY","CS","SUN",5,0.0481169872927842,1.38631574955486e-06,16.755781887396
"TRCY","CS","SUN",6,0.0211131323402976,7.76531468723369e-08,24.1002662391004
"TRCY","CS","SUN",7,0.00932795091810049,4.15504089417548e-09,32.8825039988271
"TRCY","CS","SUN",8,0.00413862766816578,2.4316381160949e-10,45.8084347777236
"TRCY","CS","SUN",9,0.00184579184326527,1.47942879737371e-11,64.4097645695459
"TRCY","CS","SUN",10,0.000812100394600261,8.78067382164943e-13,95.2047889375293
"TRCY","CS","SUN",17,2.63608612127703e-06,1.41946850366509e-21,1108.15803356414
"TRCY","GH","SH",0,3.98427547693182,1.32552012663109,6.43854625202263
"TRCY","GH","SH",0.0526315789473684,4.08129059696863,1.35842982373368,6.56510694144882
"TRCY","GH","SH",0.114285714285714,4.20027009318286,1.40008030708545,6.75564801024067
"TRCY","GH","SH",0.131147540983607,4.23574034502171,1.41299209452032,6.80337115363425
