"Site","Cov","fac_sc","niche_med","niche_lwr","niche_upr","fit_med","fit_lwr","fit_upr","p_coexist","p_TRCY_wins","p_TROR_wins","p_priority","mean_g_TROR","mean_g_TRCY","n_obs","max_support","most_supported_outcome","outcome_90"
"BEN","SH",0,0.0242380590519248,-1.65993021160467,0.618333552232824,0.949090729607464,0.246534677052668,3.53668400965981,0.212375,0.46075,0.51325,0,1,1,128,0.51325,"TROR_wins","ambiguous"
"BEN","SH",1,0.0242380590519248,-1.65993021160467,0.618333552232824,1.0551440670512,0.265843216029147,3.91746606274988,0.21425,0.519125,0.452375,0,1,1,13,0.519125,"TRCY_wins","ambiguous"
"BEN","SH",2,0.0242380590519248,-1.65993021160467,0.618333552232824,1.17624072632662,0.272687606597699,4.890360486014,0.202,0.564875,0.402625,0,1,1,5,0.564875,"TRCY_wins","ambiguous"
"BEN","SH",3,0.0242380590519248,-1.65993021160467,0.618333552232824,1.31245110436301,0.257016099774879,6.45733315918447,0.17525,0.605,0.3695,0,1,1,5,0.605,"TRCY_wins","ambiguous"
"BEN","SH",4,0.0242380590519248,-1.65993021160467,0.618333552232824,1.44448781093742,0.229404565210234,8.95380721125137,0.1535,0.63225,0.35,0,1,1,2,0.63225,"TRCY_wins","ambiguous"
"BEN","SH",5,0.0242380590519248,-1.65993021160467,0.618333552232824,1.59908597816574,0.200766686497719,12.8901620220601,0.138375,0.648875,0.333125,0,1,1,2,0.648875,"TRCY_wins","ambiguous"
"BEN","SUN",0,0.0242380590519248,-1.65993021160467,0.618333552232824,1.30713030961914,0.371386494845607,4.68650104193238,0.21125,0.62425,0.342375,0,1,1,37,0.62425,"TRCY_wins","ambiguous"
"BEN","SUN",1,0.0242380590519248,-1.65993021160467,0.618333552232824,1.39510461523873,0.404586584849877,5.02999731434251,0.206,0.65375,0.311875,0,1,1,26,0.65375,"TRCY_wins","ambiguous"
"BEN","SUN",2,0.0242380590519248,-1.65993021160467,0.618333552232824,1.48844177902774,0.423276127183261,5.38187581887726,0.197375,0.67975,0.2855,0,1,1,28,0.67975,"TRCY_wins","ambiguous"
"BEN","SUN",3,0.0242380590519248,-1.65993021160467,0.618333552232824,1.58666982447819,0.434051712611195,5.87528311818747,0.1875,0.70325,0.26,0,1,1,10,0.70325,"TRCY_wins","ambiguous"
"BEN","SUN",4,0.0242380590519248,-1.65993021160467,0.618333552232824,1.68983226539595,0.444069800082233,6.49102674561666,0.172625,0.724125,0.24175,0,1,1,8,0.724125,"TRCY_wins","ambiguous"
"BEN","SUN",5,0.0242380590519248,-1.65993021160467,0.618333552232824,1.79617108599336,0.444060475050198,7.44438181269007,0.162375,0.73975,0.22825,0,1,1,7,0.73975,"TRCY_wins","ambiguous"
"BEN","SUN",6,0.0242380590519248,-1.65993021160467,0.618333552232824,1.91039332052944,0.435070605795917,8.63249968120724,0.148375,0.757125,0.214875,0,1,1,8,0.757125,"TRCY_wins","ambiguous"
"BEN","SUN",7,0.0242380590519248,-1.65993021160467,0.618333552232824,2.04961428219103,0.417157948723977,10.1082799145493,0.137625,0.76575,0.20725,0,1,1,2,0.76575,"TRCY_wins","ambiguous"
"BEN","SUN",8,0.0242380590519248,-1.65993021160467,0.618333552232824,2.16818416841901,0.399817259580604,11.9477686883504,0.124375,0.77625,0.20225,0,1,1,5,0.77625,"TRCY_wins","ambiguous"
"BEN","SUN",9,0.0242380590519248,-1.65993021160467,0.618333552232824,2.30516888956493,0.382520943447098,14.1550850509648,0.11725,0.78225,0.19675,0,1,1,1,0.78225,"TRCY_wins","ambiguous"
"BEN","SUN",10,0.0242380590519248,-1.65993021160467,0.618333552232824,2.44550356180907,0.364773349536673,17.2059007040752,0.110625,0.787375,0.1935,0,1,1,1,0.787375,"TRCY_wins","ambiguous"
"CS","SH",0,0.0242380590519248,-1.65993021160467,0.618333552232824,0.850022936584713,-19.5840786431014,22.7700386196131,0.096875,0.44625,0.537625,0,1,1,18,0.537625,"TROR_wins","ambiguous"
"CS","SH",1,0.0242380590519248,-1.65993021160467,0.618333552232824,0.0317428876932288,-13.1690124736204,13.5522421137272,0.064125,0.251375,0.733625,0,1,1,1,0.733625,"TROR_wins","ambiguous"
"CS","SUN",0,0.0242380590519248,-1.65993021160467,0.618333552232824,2.19673373640812,-5.53550459035387,21.2387381075747,0.11175,0.750625,0.223875,0,1,1,64,0.750625,"TRCY_wins","ambiguous"
"CS","SUN",1,0.0242380590519248,-1.65993021160467,0.618333552232824,0.187318004741429,-16.381376151759,13.9702628111203,0.0675,0.275,0.713875,0,1,1,4,0.713875,"TROR_wins","ambiguous"
"CS","SUN",2,0.0242380590519248,-1.65993021160467,0.618333552232824,-0.0177754536953558,-14.7424420944487,13.1196894984476,0.061375,0.2425,0.74475,0,1,1,2,0.74475,"TROR_wins","ambiguous"
"GH","SH",0,0.0242380590519248,-1.65993021160467,0.618333552232824,0.856012856299876,0.195879279448288,3.38879497729473,0.197625,0.417375,0.56625,0,1,1,109,0.56625,"TROR_wins","ambiguous"
"GH","SH",1,0.0242380590519248,-1.65993021160467,0.618333552232824,1.04316238476656,0.247315635264944,4.12024382029246,0.2045,0.509,0.46525,0,1,1,11,0.509,"TRCY_wins","ambiguous"
"GH","SH",2,0.0242380590519248,-1.65993021160467,0.618333552232824,1.24071149697749,0.255972239144925,5.52761447203888,0.1815,0.58075,0.3915,0,1,1,1,0.58075,"TRCY_wins","ambiguous"
"GH","SH",3,0.0242380590519248,-1.65993021160467,0.618333552232824,1.43922396436611,0.240609537867164,7.99481811219229,0.158625,0.62725,0.34425,0,1,1,1,0.62725,"TRCY_wins","ambiguous"
"GH","SUN",0,0.0242380590519248,-1.65993021160467,0.618333552232824,1.22658839215681,0.327201395847174,4.51541024948778,0.215,0.584125,0.380875,0,1,1,135,0.584125,"TRCY_wins","ambiguous"
"GH","SUN",1,0.0242380590519248,-1.65993021160467,0.618333552232824,1.37520074089484,0.367031234623629,5.03425480005079,0.208,0.639625,0.32025,0,1,1,25,0.639625,"TRCY_wins","ambiguous"
"GH","SUN",2,0.0242380590519248,-1.65993021160467,0.618333552232824,1.54649377498471,0.397824308453201,5.85238505559653,0.186875,0.684,0.278875,0,1,1,8,0.684,"TRCY_wins","ambiguous"
"GH","SUN",3,0.0242380590519248,-1.65993021160467,0.618333552232824,1.72310316627396,0.398656051327344,7.2479112754566,0.166,0.71725,0.244375,0,1,1,7,0.71725,"TRCY_wins","ambiguous"
"GH","SUN",4,0.0242380590519248,-1.65993021160467,0.618333552232824,1.93880299693952,0.384542888876225,9.35557477588739,0.147,0.739625,0.224875,0,1,1,4,0.739625,"TRCY_wins","ambiguous"
"GH","SUN",5,0.0242380590519248,-1.65993021160467,0.618333552232824,2.15700921843237,0.365207254975505,12.3211483661893,0.1295,0.757625,0.211625,0,1,1,3,0.757625,"TRCY_wins","ambiguous"
"GH","SUN",6,0.0242380590519248,-1.65993021160467,0.618333552232824,2.39951923341914,0.328279188262927,16.2324927614082,0.114375,0.771,0.205625,0,1,1,1,0.771,"TRCY_wins","ambiguous"
"GH","SUN",9,0.0242380590519248,-1.65993021160467,0.618333552232824,3.28942938018057,0.236052082645352,41.1861351665582,0.087,0.78625,0.19625,0,1,1,1,0.78625,"TRCY_wins","ambiguous"
"NAM","SH",0,0.0242380590519248,-1.65993021160467,0.618333552232824,1.21819776669627,0.28820968239949,5.06514004886818,0.1935,0.57875,0.394625,0,1,1,100,0.57875,"TRCY_wins","ambiguous"
"NAM","SH",1,0.0242380590519248,-1.65993021160467,0.618333552232824,1.50699897150037,0.351155185617549,6.2466720925537,0.182,0.66725,0.3,0,1,1,19,0.66725,"TRCY_wins","ambiguous"
"NAM","SH",2,0.0242380590519248,-1.65993021160467,0.618333552232824,1.83228436188481,0.36036210272184,8.61013505195458,0.147,0.7345,0.242125,0,1,1,4,0.7345,"TRCY_wins","ambiguous"
"NAM","SH",3,0.0242380590519248,-1.65993021160467,0.618333552232824,2.20135199521735,0.364138666097846,13.0692371728803,0.124375,0.774875,0.20525,0,1,1,6,0.774875,"TRCY_wins","ambiguous"
"NAM","SUN",0,0.0242380590519248,-1.65993021160467,0.618333552232824,1.66800297798165,0.428266738294177,6.2624187345894,0.175375,0.720625,0.24475,0,1,1,128,0.720625,"TRCY_wins","ambiguous"
"NAM","SUN",1,0.0242380590519248,-1.65993021160467,0.618333552232824,1.93389983592651,0.498228292351919,7.4164893585334,0.148,0.78175,0.185875,0,1,1,24,0.78175,"TRCY_wins","ambiguous"
"NAM","SUN",2,0.0242380590519248,-1.65993021160467,0.618333552232824,2.26408324310135,0.544492586175505,9.05659890548687,0.125875,0.823625,0.139375,0,1,1,11,0.823625,"TRCY_wins","ambiguous"
"NAM","SUN",3,0.0242380590519248,-1.65993021160467,0.618333552232824,2.64441796280805,0.598541363278503,11.5026038950958,0.10475,0.85725,0.10925,0,1,1,4,0.85725,"TRCY_wins","ambiguous"
"NAM","SUN",4,0.0242380590519248,-1.65993021160467,0.618333552232824,3.06812784851158,0.636918366476347,14.8027040601851,0.083625,0.882375,0.089625,0,1,1,8,0.882375,"TRCY_wins","ambiguous"
"NAM","SUN",5,0.0242380590519248,-1.65993021160467,0.618333552232824,3.56369949772891,0.675095985340251,19.3316393600934,0.07425,0.897125,0.07725,0,1,1,4,0.897125,"TRCY_wins","ambiguous"
"NAM","SUN",6,0.0242380590519248,-1.65993021160467,0.618333552232824,4.12469235305456,0.677278464713946,25.6131972200204,0.0645,0.907875,0.069125,0,1,1,2,0.907875,"TRCY_wins","TRCY_wins"
"NAM","SUN",7,0.0242380590519248,-1.65993021160467,0.618333552232824,4.79063882139101,0.681263674914235,35.1258203065992,0.056875,0.91525,0.06275,0,1,1,1,0.91525,"TRCY_wins","TRCY_wins"
"NAM","SUN",17,0.0242380590519248,-1.65993021160467,0.618333552232824,17.2568464854103,-184.554777719881,776.230272234889,0.024375,0.9055,0.086375,0,1,1,1,0.9055,"TRCY_wins","TRCY_wins"
"PJ","SH",0,0.0242380590519248,-1.65993021160467,0.618333552232824,1.57802606910674,0.406888671424756,6.01577175008122,0.177125,0.700125,0.2735,0,1,1,184,0.700125,"TRCY_wins","ambiguous"
"PJ","SH",1,0.0242380590519248,-1.65993021160467,0.618333552232824,1.82785364791468,0.428753839990373,7.99159222058906,0.15,0.75,0.22925,0,1,1,11,0.75,"TRCY_wins","ambiguous"
"PJ","SH",2,0.0242380590519248,-1.65993021160467,0.618333552232824,2.0730199860424,0.374258754718627,13.7113057095437,0.128125,0.766625,0.216,0,1,1,3,0.766625,"TRCY_wins","ambiguous"
"PJ","SH",5,0.0242380590519248,-1.65993021160467,0.618333552232824,2.53903434777496,-41.1859267469488,70.9270882161414,0.085625,0.72925,0.261625,0,1,1,1,0.72925,"TRCY_wins","ambiguous"
"PJ","SH",6,0.0242380590519248,-1.65993021160467,0.618333552232824,2.54424533958221,-94.0366046418288,90.5815920261174,0.0765,0.700375,0.292125,0,1,1,1,0.700375,"TRCY_wins","ambiguous"
"PJ","SH",8,0.0242380590519248,-1.65993021160467,0.618333552232824,2.23637824199383,-179.950306384921,151.904086930723,0.0655,0.63925,0.353125,0,1,1,1,0.63925,"TRCY_wins","ambiguous"
"PJ","SH",10,0.0242380590519248,-1.65993021160467,0.618333552232824,1.88148322609584,-262.550200776379,167.464095268376,0.055625,0.58775,0.407,0,1,1,1,0.58775,"TRCY_wins","ambiguous"
"PJ","SUN",0,0.0242380590519248,-1.65993021160467,0.618333552232824,2.10175793561281,0.580579987478384,7.74183029785308,0.135875,0.813125,0.15925,0,1,1,180,0.813125,"TRCY_wins","ambiguous"
"PJ","SUN",1,0.0242380590519248,-1.65993021160467,0.618333552232824,2.35463590508642,0.574658985856164,9.84702710956734,0.1185,0.832,0.1435,0,1,1,10,0.832,"TRCY_wins","ambiguous"
