"Site","Cov","fac_label","fac_sc","species","species_code","igr_med","igr_lwr","igr_upr","p_positive","x_group","x_label"
"BEN","SH","Without facilitator",0,"T. cyanopetala","TRCY",-0.29288703398316,-1.7702381387325,0.837795218958807,0.312375,"BEN__TRCY","TRCY"
"BEN","SH","Without facilitator",0,"T. ornata","TROR",0.31656635819756,-0.888054872010685,1.21873338220162,0.714625,"BEN__TROR","TROR"
"BEN","SH","With facilitator",0.361290322580645,"T. cyanopetala","TRCY",-0.252693823839428,-1.75497841473021,0.869611313260436,0.333875,"BEN__TRCY","TRCY"
"BEN","SH","With facilitator",0.361290322580645,"T. ornata","TROR",0.288363507934025,-0.931193524449776,1.21071282300888,0.697875,"BEN__TROR","TROR"
"BEN","SUN","Without facilitator",0,"T. cyanopetala","TRCY",-0.0281163266974345,-1.5998597733544,1.28446006469781,0.483625,"BEN__TRCY","TRCY"
"BEN","SUN","Without facilitator",0,"T. ornata","TROR",0.0660748078329237,-1.25452095881338,1.20201454881719,0.543375,"BEN__TROR","TROR"
"BEN","SUN","With facilitator",5.19047619047619,"T. cyanopetala","TRCY",0.26039759649527,-1.33545494482084,1.61529158751225,0.648125,"BEN__TRCY","TRCY"
"BEN","SUN","With facilitator",5.19047619047619,"T. ornata","TROR",-0.218225079792748,-1.67802573233457,1.03344278254553,0.370875,"BEN__TROR","TROR"
"GH","SH","Without facilitator",0,"T. cyanopetala","TRCY",-0.351836509753933,-1.77490191910587,0.684322554833856,0.260125,"GH__TRCY","TRCY"
"GH","SH","Without facilitator",0,"T. ornata","TROR",0.36774047697294,-0.766626071775576,1.16311650753556,0.76,"GH__TROR","TROR"
"GH","SH","With facilitator",0.131147540983607,"T. cyanopetala","TRCY",-0.333078990408059,-1.76624013325794,0.717322171180607,0.27275,"GH__TRCY","TRCY"
"GH","SH","With facilitator",0.131147540983607,"T. ornata","TROR",0.356142987359253,-0.783655683026909,1.16320376297108,0.74975,"GH__TROR","TROR"
