"Site","Cov","fac_label","fac_sc","species","species_code","igr_med","igr_lwr","igr_upr","p_positive","x_group","x_label"
"BEN","SH","Without facilitator",0,"T. cyanopetala","TRCY",-0.29288703398316,-1.7702381387325,0.837795218958807,0.312375,"BEN__TRCY","TRCY"
"BEN","SH","Without facilitator",0,"T. ornata","TROR",0.31656635819756,-0.888054872010685,1.21873338220162,0.714625,"BEN__TROR","TROR"
"BEN","SUN","Without facilitator",0,"T. cyanopetala","TRCY",-0.0281163266974345,-1.5998597733544,1.28446006469781,0.483625,"BEN__TRCY","TRCY"
"BEN","SUN","Without facilitator",0,"T. ornata","TROR",0.0660748078329237,-1.25452095881338,1.20201454881719,0.543375,"BEN__TROR","TROR"
"GH","SH","Without facilitator",0,"T. cyanopetala","TRCY",-0.351836509753933,-1.77490191910587,0.684322554833856,0.260125,"GH__TRCY","TRCY"
"GH","SH","Without facilitator",0,"T. ornata","TROR",0.36774047697294,-0.766626071775576,1.16311650753556,0.76,"GH__TROR","TROR"
"GH","SUN","Without facilitator",0,"T. cyanopetala","TRCY",-0.0871136249848961,-1.60544583491489,1.13620812399945,0.449125,"GH__TRCY","TRCY"
"GH","SUN","Without facilitator",0,"T. ornata","TROR",0.130097884598017,-1.14495349626941,1.16594728846427,0.58775,"GH__TROR","TROR"
"NAM","SH","Without facilitator",0,"T. cyanopetala","TRCY",-0.0812038576876421,-1.47072826003345,0.866953076931451,0.440625,"NAM__TRCY","TRCY"
"NAM","SH","Without facilitator",0,"T. ornata","TROR",0.112121331911696,-1.04895845374747,0.929525723143839,0.589625,"NAM__TROR","TROR"
"NAM","SUN","Without facilitator",0,"T. cyanopetala","TRCY",0.187091980910832,-1.30119598490739,1.31799432197935,0.610625,"NAM__TRCY","TRCY"
"NAM","SUN","Without facilitator",0,"T. ornata","TROR",-0.13256970061024,-1.43099345049186,0.911491196315517,0.408,"NAM__TROR","TROR"
"PJ","SH","Without facilitator",0,"T. cyanopetala","TRCY",0.14613523844145,-1.31590211270618,1.24886527430428,0.592375,"PJ__TRCY","TRCY"
"PJ","SH","Without facilitator",0,"T. ornata","TROR",-0.0793866609728558,-1.33505221814577,0.909697178544663,0.4415,"PJ__TROR","TROR"
"PJ","SUN","Without facilitator",0,"T. cyanopetala","TRCY",0.410641366312907,-1.12435246179725,1.67557993287085,0.721125,"PJ__TRCY","TRCY"
"PJ","SUN","Without facilitator",0,"T. ornata","TROR",-0.344290449777115,-1.67941518845422,0.823904343028906,0.286125,"PJ__TROR","TROR"
"CS","SH","Without facilitator",0,"T. cyanopetala","TRCY",0.0223124572314394,-1.21892271785606,0.682567900082205,0.521125,"CS__TRCY","TRCY"
"CS","SH","Without facilitator",0,"T. ornata","TROR",-0.140096105411778,-1.25006341892914,0.565239475084805,0.36275,"CS__TROR","TROR"
"CS","SUN","Without facilitator",0,"T. cyanopetala","TRCY",0.316898145931865,-1.09241700459687,1.14572112328584,0.712125,"CS__TRCY","TRCY"
"CS","SUN","Without facilitator",0,"T. ornata","TROR",-0.31780396100927,-1.54853010443311,0.578898231579053,0.26475,"CS__TROR","TROR"
