"Site","focsp","n_fec","mean_fit","mean_intra","mean_inter","mean_fac"
"Ben","TRCY",147,16.8231292517007,1.95918367346939,2.86394557823129,1.23809523809524
"Ben","TROR",141,16.7872340425532,1.4113475177305,5.90070921985816,1.23404255319149
"GH","TRCY",155,13.7354838709677,2.69677419354839,4.84516129032258,0.335483870967742
"GH","TROR",151,13.4635761589404,2.60264900662252,5.86754966887417,0.47682119205298
"Nam","TRCY",168,18.2440476190476,5.01190476190476,5.10119047619048,0.672619047619048
"Nam","TROR",144,10.3333333333333,3.36111111111111,10.4444444444444,0.541666666666667
"PJ","TRCY",204,22.9019607843137,6.16176470588235,4.32352941176471,0.186274509803922
"PJ","TROR",188,13.1010638297872,2.62234042553191,14.0904255319149,0.0957446808510638
"CS","TRCY",51,4.09803921568627,2.19607843137255,0.843137254901961,0.117647058823529
"CS","TROR",38,4.34210526315789,0.631578947368421,3.84210526315789,0.0789473684210526
