"coef","prior_group","prior"
"focspTRCY","baseline_log_lambda","normal(3, 2)"
"focspTRCY:CovSun","site_cover_deviation","normal(0, 1)"
"focspTRCY:CovSun:fac_raw","raw_facilitator_slope","normal(0, 0.05000000)"
"focspTRCY:fac_raw","raw_facilitator_slope","normal(0, 0.05000000)"
"focspTRCY:SiteCS","site_cover_deviation","normal(0, 1)"
"focspTRCY:SiteCS:fac_raw","raw_facilitator_slope","normal(0, 0.05000000)"
"focspTRCY:SiteGH","site_cover_deviation","normal(0, 1)"
"focspTRCY:SiteGH:fac_raw","raw_facilitator_slope","normal(0, 0.05000000)"
"focspTRCY:SiteNAM","site_cover_deviation","normal(0, 1)"
"focspTRCY:SiteNAM:fac_raw","raw_facilitator_slope","normal(0, 0.05000000)"
"focspTRCY:SitePJ","site_cover_deviation","normal(0, 1)"
"focspTRCY:SitePJ:fac_raw","raw_facilitator_slope","normal(0, 0.05000000)"
"focspTROR","baseline_log_lambda","normal(3, 2)"
"focspTROR:CovSun","site_cover_deviation","normal(0, 1)"
"focspTROR:CovSun:fac_raw","raw_facilitator_slope","normal(0, 0.05000000)"
"focspTROR:fac_raw","raw_facilitator_slope","normal(0, 0.05000000)"
"focspTROR:SiteCS","site_cover_deviation","normal(0, 1)"
"focspTROR:SiteCS:fac_raw","raw_facilitator_slope","normal(0, 0.05000000)"
"focspTROR:SiteGH","site_cover_deviation","normal(0, 1)"
"focspTROR:SiteGH:fac_raw","raw_facilitator_slope","normal(0, 0.05000000)"
"focspTROR:SiteNAM","site_cover_deviation","normal(0, 1)"
"focspTROR:SiteNAM:fac_raw","raw_facilitator_slope","normal(0, 0.05000000)"
"focspTROR:SitePJ","site_cover_deviation","normal(0, 1)"
"focspTROR:SitePJ:fac_raw","raw_facilitator_slope","normal(0, 0.05000000)"
