"prior","class","coef","group","resp","dpar","nlpar","lb","ub","tag","source"
"student_t(3, 0, 7.4)","sigma","","","","","","0","","","default"
"","b","","","","","etaai","","","","default"
"","b","focspTRCY","","","","etaai","","","","default"
"","b","focspTROR","","","","etaai","","","","default"
"","b","","","","","etaaj","","","","default"
"","b","focspTRCY","","","","etaaj","","","","default"
"","b","focspTROR","","","","etaaj","","","","default"
"","b","","","","","etalam","","","","default"
"","b","focspTRCY","","","","etalam","","","","default"
"","b","focspTRCY:CovSun","","","","etalam","","","","default"
"","b","focspTRCY:CovSun:fac_raw","","","","etalam","","","","default"
"","b","focspTRCY:fac_raw","","","","etalam","","","","default"
"","b","focspTRCY:SiteCS","","","","etalam","","","","default"
"","b","focspTRCY:SiteCS:fac_raw","","","","etalam","","","","default"
"","b","focspTRCY:SiteGH","","","","etalam","","","","default"
"","b","focspTRCY:SiteGH:fac_raw","","","","etalam","","","","default"
"","b","focspTRCY:SiteNAM","","","","etalam","","","","default"
"","b","focspTRCY:SiteNAM:fac_raw","","","","etalam","","","","default"
"","b","focspTRCY:SitePJ","","","","etalam","","","","default"
"","b","focspTRCY:SitePJ:fac_raw","","","","etalam","","","","default"
"","b","focspTROR","","","","etalam","","","","default"
"","b","focspTROR:CovSun","","","","etalam","","","","default"
"","b","focspTROR:CovSun:fac_raw","","","","etalam","","","","default"
"","b","focspTROR:fac_raw","","","","etalam","","","","default"
"","b","focspTROR:SiteCS","","","","etalam","","","","default"
"","b","focspTROR:SiteCS:fac_raw","","","","etalam","","","","default"
"","b","focspTROR:SiteGH","","","","etalam","","","","default"
"","b","focspTROR:SiteGH:fac_raw","","","","etalam","","","","default"
"","b","focspTROR:SiteNAM","","","","etalam","","","","default"
"","b","focspTROR:SiteNAM:fac_raw","","","","etalam","","","","default"
"","b","focspTROR:SitePJ","","","","etalam","","","","default"
"","b","focspTROR:SitePJ:fac_raw","","","","etalam","","","","default"
"student_t(3, 0, 7.4)","sd","","","","","etalam","0","","","default"
"","sd","","SiteBlock","","","etalam","","","","default"
"","sd","Intercept","SiteBlock","","","etalam","","","","default"
