"Site","focsp","g_source","g_alpha_final","g_beta_final","g_mean_final"
"BEN","TRCY","direct",4,148,0.0263157894736842
"GH","TRCY","weak",0.544778641432917,3.45522135856708,0.136194660358229
"NAM","TRCY","weak",0.544778641432917,3.45522135856708,0.136194660358229
"PJ","TRCY","direct",401,2410,0.142653859836357
"CS","TRCY","weak",0.544778641432917,3.45522135856708,0.136194660358229
"BEN","TROR","direct",15,137,0.0986842105263158
"GH","TROR","weak",0.640635340833885,3.35936465916612,0.160158835208471
"NAM","TROR","weak",0.640635340833885,3.35936465916612,0.160158835208471
"PJ","TROR","direct",471,2403,0.163883089770355
"CS","TROR","weak",0.640635340833885,3.35936465916612,0.160158835208471
