"evidence_site","location","researcher","field_chambers","sp_code","n"
"PJ","Perenjori","isaac_towers","field","TROR",96
"PJ","Perenjori","isaac_towers","field","TRCY",92
"PJ","Perenjori","maia_raymundo","field","TRCY",30
"PJ","Perenjori","maia_raymundo","field","TROR",30
"PJ","Perenjori","trace_martyn","field","TRCY",19
"PJ","Perenjori","trace_martyn","field","TROR",19
"BEN","Kunjin","claire_wainwright","field","TRCY",5
"BEN","Kunjin","claire_wainwright","field","TROR",5
"BEN","Kunjin","hao_ran","field","TRCY",5
"PJ","Perenjori","claire_wainwright","field","TRCY",5
"PJ","Perenjori","claire_wainwright","field","TROR",5
"BEN","Kunjin","hao_ran","field","TROR",4
