"location","researcher","field_chambers","sp_code","n"
"Perenjori","isaac_towers","field","TROR",96
"Perenjori","isaac_towers","field","TRCY",92
"Kings_Park","john_dwyer_and todd_erickson","chambers","TROR",62
"UQ","delphia_manietta","chambers","TROR",60
"Kings_Park","john_dwyer_and todd_erickson","chambers","TRCY",56
"Kings_Park","isaac_towers","chambers","TRCY",40
"Kings_Park","isaac_towers","chambers","TROR",40
"Perenjori","maia_raymundo","field","TRCY",30
"Perenjori","maia_raymundo","field","TROR",30
"Perenjori","trace_martyn","field","TRCY",19
"Perenjori","trace_martyn","field","TROR",19
"Kunjin","claire_wainwright","field","TRCY",5
"Kunjin","claire_wainwright","field","TROR",5
"Kunjin","hao_ran","field","TRCY",5
"Perenjori","claire_wainwright","field","TRCY",5
"Perenjori","claire_wainwright","field","TROR",5
"Kunjin","hao_ran","field","TROR",4
