"Site","panel_row","p_coexist","prob_lab"
"BEN","SH-None",0.2035,"20%"
"BEN","SH-High",0.161125,"16%"
"BEN","SUN-None",0.22875,"23%"
"BEN","SUN-High",0.178625,"18%"
"GH","SH-None",0.1845,"18%"
"GH","SH-High",0.193375,"19%"
"GH","SUN-None",0.24075,"24%"
"GH","SUN-High",0.136,"14%"
"NAM","SH-None",0.242125,"24%"
"NAM","SH-High",0.162125,"16%"
"NAM","SUN-None",0.22625,"23%"
"NAM","SUN-High",0.067375,"7%"
"PJ","SH-None",0.24525,"25%"
"PJ","SH-High",0.068,"7%"
"PJ","SUN-None",0.1875,"19%"
"PJ","SUN-High",0.156875,"16%"
"CS","SH-None",0.082625,"8%"
"CS","SH-High",0.0195,"2%"
"CS","SUN-None",0.132375,"13%"
"CS","SUN-High",0.0155,"2%"
