"Site","Cov","fac_level","panel_row","species","ldgr_med","ldgr_lwr","ldgr_upr","p_ldgr_positive"
"BEN","SH","None","SH-None","TRCY",-0.29288703398316,-1.7702381387325,0.837795218958807,0.312375
"BEN","SH","None","SH-None","TROR",0.31656635819756,-0.888054872010685,1.21873338220162,0.714625
"BEN","SH","High","SH-High","TRCY",0.0999101634822811,-1.9090296265279,1.91985019001711,0.54125
"BEN","SH","High","SH-High","TROR",-0.0579987586777693,-1.90804648032062,1.59814054171176,0.47325
"BEN","SUN","None","SUN-None","TRCY",-0.0281163266974345,-1.5998597733544,1.28446006469781,0.483625
"BEN","SUN","None","SUN-None","TROR",0.0660748078329237,-1.25452095881338,1.20201454881719,0.543375
"BEN","SUN","High","SUN-High","TRCY",0.362602660684036,-1.32632537764851,1.83375361550385,0.687375
"BEN","SUN","High","SUN-High","TROR",-0.330398647619192,-1.88871046535264,1.07350158050305,0.333625
"GH","SH","None","SH-None","TRCY",-0.351836509753933,-1.77490191910587,0.684322554833856,0.260125
"GH","SH","None","SH-None","TROR",0.36774047697294,-0.766626071775576,1.16311650753556,0.76
"GH","SH","High","SH-High","TRCY",-0.0158254912520449,-1.71863690379546,1.47837955577164,0.491625
"GH","SH","High","SH-High","TROR",0.0581385511208463,-1.50321178589678,1.39691806412602,0.530125
"GH","SUN","None","SUN-None","TRCY",-0.0871136249848961,-1.60544583491489,1.13620812399945,0.449125
"GH","SUN","None","SUN-None","TROR",0.130097884598017,-1.14495349626941,1.16594728846427,0.58775
"GH","SUN","High","SUN-High","TRCY",0.532006156461461,-1.54308407137288,2.48259624403783,0.698625
"GH","SUN","High","SUN-High","TROR",-0.482694753449796,-2.46967713467015,1.42111325130247,0.314
"NAM","SH","None","SH-None","TRCY",-0.0812038576876421,-1.47072826003345,0.866953076931451,0.440625
"NAM","SH","None","SH-None","TROR",0.112121331911696,-1.04895845374747,0.929525723143839,0.589625
"NAM","SH","High","SH-High","TRCY",0.43537862110344,-1.30696713873158,1.81063055984409,0.70775
"NAM","SH","High","SH-High","TROR",-0.378158653310147,-1.9564115688509,0.99407409239565,0.304125
"NAM","SUN","None","SUN-None","TRCY",0.187091980910832,-1.30119598490739,1.31799432197935,0.610625
"NAM","SUN","None","SUN-None","TROR",-0.13256970061024,-1.43099345049186,0.911491196315517,0.408
"NAM","SUN","High","SUN-High","TRCY",1.1636413050618,-0.667731244106453,2.72704314713095,0.902375
"NAM","SUN","High","SUN-High","TROR",-1.11197714686557,-2.90476752122232,0.571871679305937,0.099375
"PJ","SH","None","SH-None","TRCY",0.14613523844145,-1.31590211270618,1.24886527430428,0.592375
"PJ","SH","None","SH-None","TROR",-0.0793866609728558,-1.33505221814577,0.909697178544663,0.4415
"PJ","SH","High","SH-High","TRCY",1.1814086283995,-2.4123836727397,3.9550187042465,0.741875
"PJ","SH","High","SH-High","TROR",-1.1264768712577,-5.55544238253245,2.26175964547387,0.267125
"PJ","SUN","None","SUN-None","TRCY",0.410641366312907,-1.12435246179725,1.67557993287085,0.721125
"PJ","SUN","None","SUN-None","TROR",-0.344290449777115,-1.67941518845422,0.823904343028906,0.286125
"PJ","SUN","High","SUN-High","TRCY",0.513595080624718,-1.05395213634181,1.8005526699964,0.760125
"PJ","SUN","High","SUN-High","TROR",-0.437594754665926,-1.84489121387289,0.769776079964138,0.239
"CS","SH","None","SH-None","TRCY",0.0223124572314394,-1.21892271785606,0.682567900082205,0.521125
"CS","SH","None","SH-None","TROR",-0.140096105411778,-1.25006341892914,0.565239475084805,0.36275
"CS","SH","High","SH-High","TRCY",-0.788094458012715,-3.31468937853046,0.761298788755523,0.18925
"CS","SH","High","SH-High","TROR",0.0409939883252139,-2.36436705802093,1.42388661272221,0.520125
"CS","SUN","None","SUN-None","TRCY",0.316898145931865,-1.09241700459687,1.14572112328584,0.712125
"CS","SUN","None","SUN-None","TROR",-0.31780396100927,-1.54853010443311,0.578898231579053,0.26475
"CS","SUN","High","SUN-High","TRCY",-1.39217052508392,-6.08595609256703,1.44881385386107,0.206125
"CS","SUN","High","SUN-High","TROR",0.0900919055801754,-4.28761374847531,2.63266571315267,0.522625
