"Site","Cov","fac_sc","niche_med","niche_lwr","niche_upr","fit_med","fit_lwr","fit_upr","p_coexist","p_TRCY_wins","p_TROR_wins","p_priority","mean_g_TROR","mean_g_TRCY","n_obs","max_support","most_supported_outcome","outcome_90"
"BEN","SH",0,0.0242380590519248,-1.65993021160467,0.618333552232824,0.674605342280929,0.197233239031666,2.19065036415983,0.20475,0.112625,0.51325,0.169375,1,1,128,0.51325,"TROR_wins","ambiguous"
"BEN","SH",1,0.0242380590519248,-1.65993021160467,0.618333552232824,0.765262896648735,0.226016863753839,2.48783932194928,0.222875,0.15275,0.44225,0.182125,1,1,13,0.44225,"TROR_wins","ambiguous"
"BEN","SH",2,0.0242380590519248,-1.65993021160467,0.618333552232824,0.847037233022017,0.230639454028928,3.12151032865324,0.218625,0.2165,0.38575,0.179125,1,1,5,0.38575,"TROR_wins","ambiguous"
"BEN","SH",3,0.0242380590519248,-1.65993021160467,0.618333552232824,0.932771787464592,0.215775364810015,4.30417231862668,0.195625,0.289625,0.348125,0.166625,1,1,5,0.348125,"TROR_wins","ambiguous"
"BEN","SH",4,0.0242380590519248,-1.65993021160467,0.618333552232824,1.02782828235492,0.194352501541389,6.31075213899484,0.170875,0.35175,0.324125,0.15325,1,1,2,0.35175,"TRCY_wins","ambiguous"
"BEN","SH",5,0.0242380590519248,-1.65993021160467,0.618333552232824,1.12818090549748,0.169367856861558,9.11535190884439,0.15175,0.401125,0.307375,0.13975,1,1,2,0.401125,"TRCY_wins","ambiguous"
"BEN","SUN",0,0.0242380590519248,-1.65993021160467,0.618333552232824,0.949493528384612,0.276665407406542,3.11842122229918,0.229,0.25475,0.31575,0.2005,1,1,37,0.31575,"TROR_wins","ambiguous"
"BEN","SUN",1,0.0242380590519248,-1.65993021160467,0.618333552232824,1.01361923286964,0.313275206168042,3.1969941875588,0.2355,0.28225,0.27925,0.203,1,1,26,0.28225,"TRCY_wins","ambiguous"
"BEN","SUN",2,0.0242380590519248,-1.65993021160467,0.618333552232824,1.07472284267439,0.335616582101241,3.36959262535821,0.234125,0.31775,0.24275,0.205375,1,1,28,0.31775,"TRCY_wins","ambiguous"
"BEN","SUN",3,0.0242380590519248,-1.65993021160467,0.618333552232824,1.14138001388272,0.354606020431989,3.69158244216308,0.226625,0.356375,0.213375,0.203625,1,1,10,0.356375,"TRCY_wins","ambiguous"
"BEN","SUN",4,0.0242380590519248,-1.65993021160467,0.618333552232824,1.20783422106788,0.362508968124533,4.13399544939608,0.219125,0.39325,0.190875,0.19675,1,1,8,0.39325,"TRCY_wins","ambiguous"
"BEN","SUN",5,0.0242380590519248,-1.65993021160467,0.618333552232824,1.28019739872488,0.364779704814054,4.6746397089782,0.20525,0.436,0.173125,0.185625,1,1,7,0.436,"TRCY_wins","ambiguous"
"BEN","SUN",6,0.0242380590519248,-1.65993021160467,0.618333552232824,1.36088276038482,0.363296489622544,5.40790067126208,0.19325,0.471,0.162,0.17375,1,1,8,0.471,"TRCY_wins","ambiguous"
"BEN","SUN",7,0.0242380590519248,-1.65993021160467,0.618333552232824,1.45112292079649,0.356388523210733,6.27057282162995,0.179875,0.50375,0.1575,0.158875,1,1,2,0.50375,"TRCY_wins","ambiguous"
"BEN","SUN",8,0.0242380590519248,-1.65993021160467,0.618333552232824,1.54358902314846,0.339396771571547,7.42988133474519,0.16475,0.531375,0.1555,0.148375,1,1,5,0.531375,"TRCY_wins","ambiguous"
"BEN","SUN",9,0.0242380590519248,-1.65993021160467,0.618333552232824,1.6288661792103,0.314640479910674,8.77114495095473,0.155875,0.552,0.15375,0.138375,1,1,1,0.552,"TRCY_wins","ambiguous"
"BEN","SUN",10,0.0242380590519248,-1.65993021160467,0.618333552232824,1.72753078361735,0.295271332236412,10.6861198237691,0.145875,0.571375,0.15475,0.128,1,1,1,0.571375,"TRCY_wins","ambiguous"
"CS","SH",0,0.0242380590519248,-1.65993021160467,0.618333552232824,0.623531751677472,-13.2461570992771,13.934810298317,0.101375,0.27975,0.52875,0.090125,1,1,18,0.52875,"TROR_wins","ambiguous"
"CS","SH",1,0.0242380590519248,-1.65993021160467,0.618333552232824,0.0211719309462462,-9.38582497924483,9.51519005447039,0.064125,0.152125,0.735375,0.048375,1,1,1,0.735375,"TROR_wins","ambiguous"
"CS","SUN",0,0.0242380590519248,-1.65993021160467,0.618333552232824,1.57796954301225,-3.62556977836427,15.20692372349,0.1365,0.53425,0.1985,0.13075,1,1,64,0.53425,"TRCY_wins","ambiguous"
"CS","SUN",1,0.0242380590519248,-1.65993021160467,0.618333552232824,0.134135789929589,-12.3556377891439,9.97639153034369,0.061375,0.172125,0.71225,0.05425,1,1,4,0.71225,"TROR_wins","ambiguous"
"CS","SUN",2,0.0242380590519248,-1.65993021160467,0.618333552232824,-0.0129582192006622,-9.91171131614148,9.39204269101013,0.060125,0.147125,0.746,0.04675,1,1,2,0.746,"TROR_wins","ambiguous"
"GH","SH",0,0.0242380590519248,-1.65993021160467,0.618333552232824,0.612625049149376,0.179676398820626,1.93707627063894,0.186125,0.08,0.57825,0.155625,1,1,109,0.57825,"TROR_wins","ambiguous"
"GH","SH",1,0.0242380590519248,-1.65993021160467,0.618333552232824,0.745108785914866,0.226865216437494,2.4904772830794,0.218,0.149125,0.457125,0.17575,1,1,11,0.457125,"TROR_wins","ambiguous"
"GH","SH",2,0.0242380590519248,-1.65993021160467,0.618333552232824,0.884352182252978,0.224618593219137,3.57556983080538,0.20775,0.247,0.368,0.17725,1,1,1,0.368,"TROR_wins","ambiguous"
"GH","SH",3,0.0242380590519248,-1.65993021160467,0.618333552232824,1.03380440168638,0.20554067627745,5.35376713731674,0.179375,0.343625,0.317875,0.159125,1,1,1,0.343625,"TRCY_wins","ambiguous"
"GH","SUN",0,0.0242380590519248,-1.65993021160467,0.618333552232824,0.877204155412144,0.275068042778151,2.73445695149519,0.24125,0.208,0.349125,0.201625,1,1,135,0.349125,"TROR_wins","ambiguous"
"GH","SUN",1,0.0242380590519248,-1.65993021160467,0.618333552232824,0.986719073439508,0.316220695438634,3.08177927146967,0.24,0.2715,0.284375,0.204125,1,1,25,0.284375,"TROR_wins","ambiguous"
