"Site","Cov","fac_label","p_TRCY_wins","p_TROR_wins","p_coexist","p_priority","n_rows","p_sum"
"BEN","SH","No facilitator",0.112625,0.51325,0.20475,0.169375,8000,1
"BEN","SH","Low facilitator",0.15275,0.44225,0.222875,0.182125,8000,1
"BEN","SH","High facilitator",0.378875,0.314375,0.161125,0.145625,8000,1
"GH","SH","No facilitator",0.08,0.57825,0.186125,0.155625,8000,1
"GH","SH","Low facilitator",0.149125,0.457125,0.218,0.17575,8000,1
"GH","SH","High facilitator",0.29825,0.338,0.193375,0.170375,8000,1
"NAM","SH","No facilitator",0.19975,0.354375,0.245,0.200875,8000,1
"NAM","SH","Low facilitator",0.317875,0.23325,0.239875,0.209,8000,1
"NAM","SH","High facilitator",0.541375,0.148,0.16225,0.148375,8000,1
"PJ","SH","No facilitator",0.34375,0.20225,0.24525,0.20875,8000,1
"PJ","SH","Low facilitator",0.44875,0.150375,0.209125,0.19175,8000,1
"PJ","SH","High facilitator",0.513375,0.36,0.068,0.058625,8000,1
"CS","SH","No facilitator",0.27975,0.52875,0.101375,0.090125,8000,1
"CS","SH","Low facilitator",0.152125,0.735375,0.064125,0.048375,8000,1
"CS","SH","High facilitator",0.152125,0.735375,0.064125,0.048375,8000,1
"BEN","SUN","No facilitator",0.25475,0.31575,0.229,0.2005,8000,1
"BEN","SUN","Low facilitator",0.28225,0.27925,0.2355,0.203,8000,1
"BEN","SUN","High facilitator",0.50725,0.157,0.178625,0.157125,8000,1
"GH","SUN","No facilitator",0.208,0.349125,0.24125,0.201625,8000,1
"GH","SUN","Low facilitator",0.2715,0.284375,0.24,0.204125,8000,1
"GH","SUN","High facilitator",0.562375,0.17825,0.136,0.123375,8000,1
"NAM","SUN","No facilitator",0.38125,0.187375,0.22625,0.205125,8000,1
"NAM","SUN","Low facilitator",0.48275,0.124375,0.204375,0.1885,8000,1
"NAM","SUN","High facilitator",0.828125,0.038875,0.067375,0.065625,8000,1
"PJ","SUN","No facilitator",0.53225,0.100125,0.1875,0.180125,8000,1
"PJ","SUN","Low facilitator",0.600625,0.084875,0.156875,0.157625,8000,1
"PJ","SUN","High facilitator",0.600625,0.084875,0.156875,0.157625,8000,1
"CS","SUN","No facilitator",0.53425,0.1985,0.1365,0.13075,8000,1
"CS","SUN","Low facilitator",0.172125,0.71225,0.061375,0.05425,8000,1
"CS","SUN","High facilitator",0.147125,0.746,0.060125,0.04675,8000,1
