"Site","Cov","fac_present","p_TRCY_wins","p_TROR_wins","p_coexist","p_priority","n_rows","p_sum"
"BEN","SH","No",0.112625,0.51325,0.20475,0.169375,8000,1
"BEN","SH","Yes",0.378875,0.314375,0.161125,0.145625,8000,1
"GH","SH","No",0.08,0.57825,0.186125,0.155625,8000,1
"GH","SH","Yes",0.29825,0.338,0.193375,0.170375,8000,1
"NAM","SH","No",0.19975,0.354375,0.245,0.200875,8000,1
"NAM","SH","Yes",0.541375,0.148,0.16225,0.148375,8000,1
"PJ","SH","No",0.34375,0.20225,0.24525,0.20875,8000,1
"PJ","SH","Yes",0.513375,0.36,0.068,0.058625,8000,1
"CS","SH","No",0.27975,0.52875,0.101375,0.090125,8000,1
"CS","SH","Yes",0.152125,0.735375,0.064125,0.048375,8000,1
"BEN","SUN","No",0.25475,0.31575,0.229,0.2005,8000,1
"BEN","SUN","Yes",0.50725,0.157,0.178625,0.157125,8000,1
"GH","SUN","No",0.208,0.349125,0.24125,0.201625,8000,1
"GH","SUN","Yes",0.562375,0.17825,0.136,0.123375,8000,1
"NAM","SUN","No",0.38125,0.187375,0.22625,0.205125,8000,1
"NAM","SUN","Yes",0.828125,0.038875,0.067375,0.065625,8000,1
"PJ","SUN","No",0.53225,0.100125,0.1875,0.180125,8000,1
"PJ","SUN","Yes",0.600625,0.084875,0.156875,0.157625,8000,1
"CS","SUN","No",0.53425,0.1985,0.1365,0.13075,8000,1
"CS","SUN","Yes",0.147125,0.746,0.060125,0.04675,8000,1
