"Site","Cov","fac_sc","niche_med","niche_lwr","niche_upr","fit_med","fit_lwr","fit_upr","p_coexist","p_TRCY_wins","p_TROR_wins","p_priority","mean_g_TROR","mean_g_TRCY","p_valid_kappa","n_obs","p_sum","p_unclassified","max_support","most_supported_outcome","outcome_90"
"BEN","Shade",0,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.683318384190107,0.245513991128255,1.60887687543994,0.14675,0.083375,0.589375,0.1805,1,1,1,128,1,0,0.589375,"TROR_wins","ambiguous"
"BEN","Shade",1,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.78382561024394,0.319128462598068,1.81619921338592,0.18175,0.133,0.472125,0.213125,1,1,1,13,1,0,0.472125,"TROR_wins","ambiguous"
"BEN","Shade",2,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.86489040210674,0.335325914752698,2.22122045089227,0.1825,0.20025,0.398875,0.218375,1,1,1,5,1,0,0.398875,"TROR_wins","ambiguous"
"BEN","Shade",3,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.935198200680303,0.330298496297581,2.74539815975586,0.17275,0.264,0.35175,0.2115,1,1,1,5,1,0,0.35175,"TROR_wins","ambiguous"
"BEN","Shade",4,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.983677934314751,0.316346160097059,3.42308131377403,0.164875,0.307875,0.323375,0.203875,1,1,1,2,1,0,0.323375,"TROR_wins","ambiguous"
"BEN","Shade",5,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.02389615627859,0.297961460795299,4.40132886509482,0.1535,0.34525,0.309625,0.191625,1,1,1,2,1,0,0.34525,"TRCY_wins","ambiguous"
"BEN","Sun",0,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.861416971466041,0.357110383415177,2.00403875573708,0.189625,0.18,0.4015,0.228875,1,1,1,37,1,0,0.4015,"TROR_wins","ambiguous"
"BEN","Sun",1,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.89165810338506,0.373689550890818,2.06628233318621,0.195875,0.199625,0.368875,0.235625,1,1,1,26,1,0,0.368875,"TROR_wins","ambiguous"
"BEN","Sun",2,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.92689451577064,0.387923108131624,2.13871632452713,0.2005,0.2245,0.3325,0.2425,1,1,1,28,1,0,0.3325,"TROR_wins","ambiguous"
"BEN","Sun",3,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.9631037910328,0.39865484640462,2.26061664693912,0.19675,0.2505,0.30625,0.2465,1,1,1,10,1,0,0.30625,"TROR_wins","ambiguous"
"BEN","Sun",4,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.997783622942171,0.407865764353712,2.36528387743331,0.19,0.281875,0.280625,0.2475,1,1,1,8,1,0,0.281875,"TRCY_wins","ambiguous"
"BEN","Sun",5,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.02833045784455,0.416650672100913,2.54963282873152,0.18225,0.316125,0.262875,0.23875,1,1,1,7,1,0,0.316125,"TRCY_wins","ambiguous"
"BEN","Sun",6,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.06195862811167,0.420506341215793,2.78185786967107,0.175875,0.347625,0.248,0.2285,1,1,1,8,1,0,0.347625,"TRCY_wins","ambiguous"
"BEN","Sun",7,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.09964601553137,0.416154288353718,3.09178478759357,0.16925,0.374375,0.2375,0.218875,1,1,1,2,1,0,0.374375,"TRCY_wins","ambiguous"
"BEN","Sun",8,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.13311757988574,0.411825709192506,3.55094316267478,0.16275,0.4,0.22725,0.21,1,1,1,5,1,0,0.4,"TRCY_wins","ambiguous"
"BEN","Sun",9,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.17036166389718,0.400104576968297,4.05613166412759,0.154875,0.422,0.2205,0.202625,1,1,1,1,1,0,0.422,"TRCY_wins","ambiguous"
"BEN","Sun",10,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.20140506493934,0.386876241680409,4.82175522950017,0.146375,0.444375,0.21425,0.195,1,1,1,1,1,0,0.444375,"TRCY_wins","ambiguous"
