"focsp","Site","Cov","fac_sc","lambda_med","lambda_lwr","lambda_upr"
"TRCY","BEN","Shade",0,2.49188623966298,1.25630288155276,4.40591948613288
"TRCY","BEN","Shade",1,3.16954967701077,1.59211035075342,5.67951195432143
"TRCY","BEN","Shade",2,4.01387128996916,1.92247470258927,7.81274835450789
"TRCY","BEN","Shade",2.5,4.53001681926817,2.08784137333731,9.34500282962651
"TRCY","BEN","Shade",3,5.10070464909349,2.24601528030021,11.0851381548366
"TRCY","BEN","Shade",4,6.48169823581801,2.52900959751628,16.1569079040648
"TRCY","BEN","Shade",4.5,7.29288336006735,2.67097930060105,19.8559442353305
"TRCY","BEN","Shade",5,8.21847141825448,2.78862940391893,24.1376640827291
"TRCY","BEN","Shade",6,10.4478621018661,3.00090495017076,35.9550108669855
"TRCY","BEN","Shade",7,13.3326869800807,3.25094586705555,53.1848299745659
"TRCY","BEN","Shade",7.11764705882353,13.7183443143432,3.2676403826568,55.5690293797183
"TRCY","BEN","Shade",8,17.0200664054744,3.44918817139696,78.9853195403342
"TRCY","BEN","Shade",9,21.7308330769172,3.69103505203142,117.449784458105
"TRCY","BEN","Shade",10,27.7358888940843,3.88432584126642,176.057705342436
"TRCY","BEN","Shade",17,151.795360866766,5.58264977044986,3391.22846104681
"TRCY","BEN","Sun",0,5.13537688923011,2.59801481596101,9.21411395644772
"TRCY","BEN","Sun",1,5.40264000990245,2.74867126794569,9.62289586796926
"TRCY","BEN","Sun",2,5.69556546868184,2.8726183560782,10.2359296346017
"TRCY","BEN","Sun",2.5,5.84263508144321,2.91592255714097,10.6038788371696
"TRCY","BEN","Sun",3,5.99540779319711,2.95177780410214,11.0515011480963
"TRCY","BEN","Sun",4,6.30249770206845,3.01059343343703,11.9915317946576
"TRCY","BEN","Sun",4.5,6.46394178280825,3.03587026889239,12.6207060111516
"TRCY","BEN","Sun",5,6.64423510875428,3.02455861544801,13.3428064190807
"TRCY","BEN","Sun",6,6.99264457886665,3.03242557729275,14.9495932841626
"TRCY","BEN","Sun",7,7.3741032888359,3.00378814709084,16.9944354354543
"TRCY","BEN","Sun",7.11764705882353,7.4214829850259,2.98705962109945,17.2290503291028
"TRCY","BEN","Sun",8,7.76841150759083,2.98351952779563,19.202577491945
"TRCY","BEN","Sun",9,8.1773047476356,2.93850338504598,21.7411652365541
"TRCY","BEN","Sun",10,8.61135451381135,2.84091342671262,24.9763089899212
"TRCY","BEN","Sun",17,12.407165825023,2.26294174046121,66.0368667005542
