Site,Cov,fac_present,p_TRCY_wins,p_TROR_wins,p_coexist,p_priority,p_valid_kappa,n_rows,p_sum,p_unclassified
BEN,Shade,No,0.083375,0.589375,0.14675,0.1805,1,8000,0.9999999999999999,1.1102230246251565e-16
BEN,Shade,Yes,0.32725,0.3155,0.160375,0.196875,1,8000,0.9999999999999999,1.1102230246251565e-16
GH,Shade,No,0.078875,0.570625,0.156875,0.193625,1,8000,1,0
GH,Shade,Yes,0.18325,0.399375,0.18925,0.228125,1,8000,1,0
NAM,Shade,No,0.14175,0.431875,0.192125,0.23425,1,8000,1,0
NAM,Shade,Yes,0.34275,0.231625,0.18525,0.240375,1,8000,1,0
PJ,Shade,No,0.21825,0.320125,0.207875,0.25375,1,8000,1,0
PJ,Shade,Yes,0.406,0.348375,0.106125,0.1395,1,8000,1,0
CS,Shade,No,0.37925,0.304625,0.138,0.178125,1,8000,1,0
CS,Shade,Yes,0.1715,0.589625,0.102625,0.13625,1,8000,0.9999999999999999,1.1102230246251565e-16
BEN,Sun,No,0.18,0.4015,0.189625,0.228875,1,8000,1,0
BEN,Sun,Yes,0.378375,0.236875,0.16775,0.217,1,8000,1.0000000000000002,-2.220446049250313e-16
GH,Sun,No,0.142125,0.4475,0.18475,0.225625,1,8000,1,0
GH,Sun,Yes,0.263,0.3175,0.1825,0.237,1,8000,1,0
NAM,Sun,No,0.203875,0.344875,0.20475,0.2465,1,8000,1,0
NAM,Sun,Yes,0.5335,0.11775,0.144875,0.203875,1,8000,1,0
PJ,Sun,No,0.262625,0.28325,0.199875,0.25425,1,8000,1,0
PJ,Sun,Yes,0.292625,0.2565,0.199,0.251875,1,8000,1.0000000000000002,-2.220446049250313e-16
CS,Sun,No,0.416,0.20575,0.16075,0.2175,1,8000,1,0
CS,Sun,Yes,0.16375,0.642,0.085625,0.108625,1,8000,1,0
