Site,Cov,fac_sc,niche_med,niche_lwr,niche_upr,fit_med,fit_lwr,fit_upr,p_coexist,p_TRCY_wins,p_TROR_wins,p_priority,mean_g_TROR,mean_g_TRCY,p_valid_kappa,n_obs,p_sum,p_unclassified,max_support,most_supported_outcome,outcome_90
BEN,Shade,0,0.02072453548382952,-1.6114760218384188,0.6355345295115824,0.6774019319582163,0.1960536615248448,2.2738501765708774,0.20525,0.1175,0.513375,0.163875,1,1,1,128,1,0,0.513375,TROR_wins,ambiguous
BEN,Shade,1,0.02072453548382952,-1.6114760218384188,0.6355345295115824,0.7737910874079093,0.22297310961618183,2.4878948299943,0.22725,0.16,0.437125,0.175625,1,1,1,13,1,0,0.437125,TROR_wins,ambiguous
BEN,Shade,2,0.02072453548382952,-1.6114760218384188,0.6355345295115824,0.8629776698533272,0.2255405992640092,3.2151134844741325,0.21875,0.228875,0.375375,0.177,1,1,1,5,1,0,0.375375,TROR_wins,ambiguous
BEN,Shade,3,0.02072453548382952,-1.6114760218384188,0.6355345295115824,0.9595234779741775,0.2062474411365213,4.381324521088271,0.199375,0.298375,0.3365,0.16575,1,1,1,5,1,0,0.3365,TROR_wins,ambiguous
BEN,Shade,4,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.0549613066863968,0.1829576035654754,6.27990429374884,0.176125,0.358625,0.313125,0.152125,1,1,1,2,1,0,0.358625,TRCY_wins,ambiguous
BEN,Shade,5,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.1675954949344842,0.15734614366213853,9.041237378044045,0.15775,0.410375,0.29575,0.136125,1,1,1,2,1,0,0.410375,TRCY_wins,ambiguous
BEN,Sun,0,0.02072453548382952,-1.6114760218384188,0.6355345295115824,0.9468418511379085,0.27523583609375646,3.236489622127307,0.231,0.2585,0.321875,0.188625,1,1,1,37,1,0,0.321875,TROR_wins,ambiguous
BEN,Sun,1,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.0093818410940776,0.29856678248962637,3.337457843023589,0.23075,0.2845,0.287375,0.197375,1,1,1,26,1,0,0.287375,TROR_wins,ambiguous
BEN,Sun,2,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.0762283029058843,0.32140017459368925,3.553811132098646,0.22975,0.317375,0.253875,0.199,1,1,1,28,1,0,0.317375,TRCY_wins,ambiguous
BEN,Sun,3,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.142583620340733,0.333270832558699,3.8296224264863223,0.220875,0.356875,0.225375,0.196875,1,1,1,10,1,0,0.356875,TRCY_wins,ambiguous
BEN,Sun,4,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.209575781888107,0.3374269330034035,4.151224426548545,0.209625,0.393875,0.20525,0.19125,1,1,1,8,1,0,0.393875,TRCY_wins,ambiguous
BEN,Sun,5,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.295837909771565,0.3443195129447907,4.662396704767527,0.196375,0.437375,0.1875,0.17875,1,1,1,7,1,0,0.437375,TRCY_wins,ambiguous
BEN,Sun,6,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.3864492551102936,0.3410370712218235,5.269169444861022,0.185625,0.47225,0.17575,0.166375,1,1,1,8,1,0,0.47225,TRCY_wins,ambiguous
BEN,Sun,7,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.4680716507939633,0.3339601349283103,6.0715866850566425,0.174125,0.505125,0.166875,0.153875,1,1,1,2,1,0,0.505125,TRCY_wins,ambiguous
BEN,Sun,8,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.5612427334628867,0.32200027549383126,7.089741419852477,0.160125,0.531875,0.16275,0.14525,1,1,1,5,1,0,0.531875,TRCY_wins,ambiguous
BEN,Sun,9,0.02072453548382952,-1.6114760218384188,0.6355345295115824,1.6625618282416383,0.310452666577257,8.433352138577302,0.148,0.5595,0.1575,0.135,1,1,1,1,1,0,0.5595,TRCY_wins,ambiguous
