focsp,Site,Cov,fac_sc,lambda_med,lambda_lwr,lambda_upr
TRCY,BEN,Shade,0,5.110399114282602,1.7522802091555896,8.148507365528301
TRCY,BEN,Shade,1,6.593560899038771,2.285502659236947,10.740506499657743
TRCY,BEN,Shade,2,8.439144637185628,2.854163225556343,15.005505334155187
TRCY,BEN,Shade,2.5,9.541771215452481,3.1245609742700156,17.934235940788025
TRCY,BEN,Shade,3,10.799301372906829,3.4252460564448106,21.7734730260539
TRCY,BEN,Shade,4,13.889899047777973,3.914379872112846,32.54631031588067
TRCY,BEN,Shade,4.5,15.73957413933019,4.1971993667369185,40.04595026885439
TRCY,BEN,Shade,5,17.834256570183214,4.5883931074882645,49.06416981711808
TRCY,BEN,Shade,6,22.861447639723174,5.264241880577241,75.11012001996754
TRCY,BEN,Shade,7,29.445907411852403,5.892480414880612,114.87560021928047
TRCY,BEN,Shade,7.117647058823529,30.35512538506149,5.961763199378784,121.07098751700518
TRCY,BEN,Shade,8,37.923980572392935,6.522107101175387,176.48912343023474
TRCY,BEN,Shade,9,48.809111058326266,7.127873651565252,269.48254313524615
TRCY,BEN,Shade,10,62.82929129511122,7.622799076150307,413.0044658077267
TRCY,BEN,Shade,17,371.9179434036431,12.458194527952973,8491.834521419672
TRCY,BEN,Sun,0,10.854616953660528,3.851341625852582,17.700718874251873
TRCY,BEN,Sun,1,11.57275467049488,4.037491453881274,18.421245515899148
TRCY,BEN,Sun,2,12.29644898893019,4.173242642566622,19.581300650451443
TRCY,BEN,Sun,2.5,12.679032081772997,4.316059685956769,20.292837066825435
TRCY,BEN,Sun,3,13.05531148885649,4.408992452162103,21.192855795224002
TRCY,BEN,Sun,4,13.8273948337112,4.6071243632924475,23.351552629780983
TRCY,BEN,Sun,4.5,14.235239654923326,4.72112764686609,24.743985395462783
TRCY,BEN,Sun,5,14.667660127926862,4.78049423945041,26.16823994336587
TRCY,BEN,Sun,6,15.521130212165328,4.874492674849194,29.692373643331905
TRCY,BEN,Sun,7,16.444564402830412,5.104647625290328,34.031783926938225
TRCY,BEN,Sun,7.117647058823529,16.55959716898922,5.130488262733209,34.64261988835312
TRCY,BEN,Sun,8,17.38333635529954,5.193360667697481,38.96978205522756
TRCY,BEN,Sun,9,18.4535068531766,5.290905490426156,44.66552317134303
TRCY,BEN,Sun,10,19.58865605073764,5.319515130496474,51.254046922716824
TRCY,BEN,Sun,17,29.732992286482716,4.774822809469745,145.39073562739802
TRCY,GH,Shade,0,3.9619839442790883,1.320428303303885,6.391551402116443
TRCY,GH,Shade,1,6.1864705946822625,2.1072955522808283,10.308262121703581
TRCY,GH,Shade,2,9.626634133398994,3.0494326855181915,19.196987097955773
TRCY,GH,Shade,2.5,11.953300514288717,3.5373765323439543,26.763127120114138
TRCY,GH,Shade,3,14.940831818359715,4.1898227213165065,37.58568995218056
TRCY,GH,Shade,4,23.322680459487504,5.462493837457152,74.73778346436482
TRCY,GH,Shade,4.5,29.149140643249474,6.0993779891473325,107.23944854877436
TRCY,GH,Shade,5,36.4897170219909,6.816447497680006,153.5643397369854
TRCY,GH,Shade,6,56.907292618064105,8.596490085369563,315.6491943805528
TRCY,GH,Shade,7,88.75599870620769,10.635668277860029,643.8946692538011
TRCY,GH,Shade,7.117647058823529,93.67582665764641,10.89929857883229,700.1761285860435
TRCY,GH,Shade,8,139.259511073339,13.0937868103569,1340.9878886609981
TRCY,GH,Shade,9,218.4059567855326,16.17248171322757,2754.0856152742117
TRCY,GH,Shade,10,345.55627064316616,19.67653696273646,5607.328534068832
TRCY,GH,Shade,17,8070.954626402639,70.55622442419921,905736.5944646035
TRCY,GH,Sun,0,8.443027671500298,2.8634315327605013,13.444993725579957
TRCY,GH,Sun,1,10.916209433953451,3.7286385947407212,17.56070403374708
TRCY,GH,Sun,2,13.991764932456949,4.610952021586469,25.056807770104484
TRCY,GH,Sun,2.5,15.855886347930607,5.136957616993733,30.808856938395238
TRCY,GH,Sun,3,17.997457248020837,5.562462031849027,37.90115296105664
TRCY,GH,Sun,4,23.206378945283145,6.488246080429049,59.25330330602478
TRCY,GH,Sun,4.5,26.317482986077025,6.839688472392068,74.02694630689476
TRCY,GH,Sun,5,29.811059337639005,7.201990131606379,93.16917636876464
TRCY,GH,Sun,6,38.30090399614577,7.754558431412188,147.50049277829416
TRCY,GH,Sun,7,49.383427295748305,8.349445862196657,233.7407204037229
TRCY,GH,Sun,7.117647058823529,50.892286895961774,8.393339443897657,246.35911431125643
TRCY,GH,Sun,8,63.84752295122786,8.862278443517384,366.3709776978131
TRCY,GH,Sun,9,82.4286910433032,9.450743909243203,585.7785084494664
TRCY,GH,Sun,10,106.24757374202778,10.04255976393481,932.3638820003944
TRCY,GH,Sun,17,647.91703913493,14.117898279532563,25800.628717126343
TRCY,NAM,Shade,0,4.366489597305297,1.4330390537693323,6.994818634931197
TRCY,NAM,Shade,1,6.186402566357955,2.0541137075250284,10.161844021099887
TRCY,NAM,Shade,2,8.728673605164385,2.8598145866925626,15.743602387214011
TRCY,NAM,Shade,2.5,10.345418705322729,3.294882141608626,20.155843961748452
TRCY,NAM,Shade,3,12.249855599064968,3.7842673451184896,26.038296958879755
TRCY,NAM,Shade,4,17.235059605083066,5.054039101568683,43.946536638002385
TRCY,NAM,Shade,4.5,20.473869098869393,5.711092230911462,57.52619220835279
TRCY,NAM,Shade,5,24.417572406263492,6.42179067001521,75.35001913576251
TRCY,NAM,Shade,6,34.56082951761012,7.716163080599947,128.21399701444767
TRCY,NAM,Shade,7,48.95742461433771,9.353124713638037,219.6829999137077
TRCY,NAM,Shade,7.117647058823529,51.02178850769113,9.66531256326711,234.07686361443035
TRCY,NAM,Shade,8,69.40000930523986,11.259816419598028,381.1218578685705
TRCY,NAM,Shade,9,98.45096656626711,13.37593758407852,659.2500435743185
TRCY,NAM,Shade,10,140.43558332716145,15.528886124048299,1146.7754637633586
TRCY,NAM,Shade,17,1634.705629967927,44.25472123063954,55339.637548723724
TRCY,NAM,Sun,0,9.288841052487825,3.164817273364311,14.847559179213611
TRCY,NAM,Sun,1,10.890340570627963,3.7105701792776484,17.35225179868753
TRCY,NAM,Sun,2,12.70052334057209,4.271801942506858,20.850716705110592
TRCY,NAM,Sun,2.5,13.706512915683504,4.667579921702627,23.32407111633283
TRCY,NAM,Sun,3,14.773389872564728,4.9575090543913465,26.02291456054878
TRCY,NAM,Sun,4,17.18432138751038,5.700535455738255,32.877755479256
TRCY,NAM,Sun,4.5,18.52776999714161,6.069636583060227,37.27063085770705
TRCY,NAM,Sun,5,19.998277772439323,6.365143333033163,42.39551736566245
TRCY,NAM,Sun,6,23.289237848574295,7.03625077031091,54.79486091552692
TRCY,NAM,Sun,7,27.14888253256384,7.8146366050766405,72.01748946480407
