Site,panel_row,p_coexist,prob_lab
BEN,Sun-None,0.230625,23%
BEN,Sun-High,0.173,17%
BEN,Shade-None,0.204125,20%
BEN,Shade-High,0.1675,17%
GH,Sun-None,0.23725,24%
GH,Sun-High,0.135375,14%
GH,Shade-None,0.19025,19%
GH,Shade-High,0.199625,20%
NAM,Sun-None,0.23,23%
NAM,Sun-High,0.064875,6%
NAM,Shade-None,0.238875,24%
NAM,Shade-High,0.158375,16%
PJ,Sun-None,0.186125,19%
PJ,Sun-High,0.166625,17%
PJ,Shade-None,0.235375,24%
PJ,Shade-High,0.06975,7%
CS,Sun-None,0.129125,13%
CS,Sun-High,0.016375,2%
CS,Shade-None,0.082,8%
CS,Shade-High,0.018375,2%
