Site,Cov,fac_level,panel_row,species,ldgr_med,ldgr_lwr,ldgr_upr,p_ldgr_positive
BEN,Shade,None,Shade-None,TRCY,-0.28919429661527307,-1.7658077278471391,0.8345310888239589,0.31825
BEN,Shade,None,Shade-None,TROR,0.32536226486206843,-0.9684401779477206,1.2355967802817898,0.715125
BEN,Shade,High,Shade-High,TRCY,0.1412619100929338,-1.8911147800054624,1.953106450766304,0.555375
BEN,Shade,High,Shade-High,TROR,-0.07131738632362337,-1.9691832904687179,1.648610343302933,0.46825
BEN,Sun,None,Sun-None,TRCY,-0.019456284320815875,-1.580616962151702,1.2892208856211405,0.489
BEN,Sun,None,Sun-None,TROR,0.08263054646979556,-1.3292182108441368,1.23647388757997,0.551
BEN,Sun,High,Sun-High,TRCY,0.38054706656738246,-1.3303717176769467,1.7870333826532911,0.6835
BEN,Sun,High,Sun-High,TROR,-0.3150737594545072,-1.9658268765664455,1.0936387989260001,0.336
GH,Shade,None,Shade-None,TRCY,-0.354806034622558,-1.779772583958628,0.6589984286274928,0.26725
GH,Shade,None,Shade-None,TROR,0.37149497455389835,-0.867134477743849,1.16902818128325,0.761125
GH,Shade,High,Shade-High,TRCY,0.0023705060724984223,-1.7435045304154027,1.4704682760554078,0.50125
GH,Shade,High,Shade-High,TROR,0.05291768582085299,-1.5362119858606946,1.430745393138021,0.526625
GH,Sun,None,Sun-None,TRCY,-0.08897465495244991,-1.616520598472991,1.1121751011887837,0.45025
GH,Sun,None,Sun-None,TROR,0.13547613660261962,-1.2077767925813185,1.1897196696158832,0.59
GH,Sun,High,Sun-High,TRCY,0.5422726888401161,-1.520010210566565,2.4759536638301056,0.699125
GH,Sun,High,Sun-High,TROR,-0.47754968363759837,-2.4822652813233486,1.4461982378274891,0.311875
NAM,Shade,None,Shade-None,TRCY,-0.08033362944892915,-1.4702234207385143,0.8560019035844167,0.440875
NAM,Shade,None,Shade-None,TROR,0.1060878960313259,-1.1098249433646175,0.9308417948525107,0.58825
NAM,Shade,High,Shade-High,TRCY,0.45852637619078496,-1.2928317134346978,1.8485730322724614,0.71675
NAM,Shade,High,Shade-High,TROR,-0.39567154365382445,-1.9804053461165732,1.001751864898084,0.29825
NAM,Sun,None,Sun-None,TRCY,0.18868321689401873,-1.3202246311810686,1.3142856537076342,0.61325
NAM,Sun,None,Sun-None,TROR,-0.13152670367126262,-1.4808845578438832,0.9333871576137495,0.4145
NAM,Sun,High,Sun-High,TRCY,1.153565881195437,-0.6606804005442554,2.777296996999582,0.9
NAM,Sun,High,Sun-High,TROR,-1.099296805734777,-2.988871197960009,0.5580605379514592,0.092625
PJ,Shade,None,Shade-None,TRCY,0.1410783211906974,-1.3142761136763328,1.229066833846799,0.58525
PJ,Shade,None,Shade-None,TROR,-0.08744944070322375,-1.3897145447075356,0.9130293941716222,0.439125
PJ,Shade,High,Shade-High,TRCY,1.1399606468865966,-2.3910176569547965,3.9446297891935567,0.728125
PJ,Shade,High,Shade-High,TROR,-1.0713638372212428,-5.515755025254376,2.2829120964106817,0.2775
PJ,Sun,None,Sun-None,TRCY,0.41398133305199425,-1.1177866416465505,1.6813867214408438,0.713125
PJ,Sun,None,Sun-None,TROR,-0.34168558756898026,-1.699061327004437,0.8457501735174756,0.2895
PJ,Sun,High,Sun-High,TRCY,0.4917189389698464,-1.0498217973889923,1.7823522033921348,0.747125
PJ,Sun,High,Sun-High,TROR,-0.42484374219514454,-1.8676837797482222,0.8031708713776434,0.258125
CS,Shade,None,Shade-None,TRCY,0.02225725083338278,-1.2606324618462117,0.7141835439305606,0.522
CS,Shade,None,Shade-None,TROR,-0.15124981245643748,-1.3592704180386466,0.5799666429080014,0.362875
CS,Shade,High,Shade-High,TRCY,-0.75931100825322,-3.225811525304034,0.764970327054151,0.195
CS,Shade,High,Shade-High,TROR,0.008960098871233158,-2.489387838889631,1.3990832264112951,0.504625
CS,Sun,None,Sun-None,TRCY,0.3295132215657799,-1.1097551074267924,1.1821266061434763,0.71175
CS,Sun,None,Sun-None,TROR,-0.3125430093887751,-1.7002226919227277,0.6146083691400048,0.273
CS,Sun,High,Sun-High,TRCY,-1.3557218809394276,-5.84402466368135,1.4476242041715748,0.210875
CS,Sun,High,Sun-High,TROR,0.06267918946631212,-4.562946773944799,2.547289466070847,0.51725
