Site,Cov,fac_present,p_TRCY_wins,p_TROR_wins,p_coexist,p_priority,p_valid_kappa,n_rows,p_sum,p_unclassified
BEN,Shade,No,0.1175,0.513375,0.20525,0.163875,1,8000,1,0
BEN,Shade,Yes,0.3855,0.303375,0.16775,0.143375,1,8000,1,0
GH,Shade,No,0.080625,0.573875,0.192125,0.153375,1,8000,1,0
GH,Shade,Yes,0.29975,0.32925,0.20025,0.17075,1,8000,1,0
NAM,Shade,No,0.203125,0.356875,0.240625,0.199375,1,8000,1,0
NAM,Shade,Yes,0.552625,0.147,0.159,0.141375,1,8000,1,0
PJ,Shade,No,0.3475,0.20825,0.23625,0.208,1,8000,0.9999999999999999,1.1102230246251565e-16
PJ,Shade,Yes,0.50925,0.357375,0.070125,0.06325,1,8000,1,0
CS,Shade,No,0.276875,0.53925,0.101125,0.08275,1,8000,1,0
CS,Shade,Yes,0.15925,0.724125,0.063625,0.053,1,8000,1,0
BEN,Sun,No,0.2585,0.321875,0.231,0.188625,1,8000,1,0
BEN,Sun,Yes,0.50825,0.165875,0.173125,0.15275,1,8000,1,0
GH,Sun,No,0.213125,0.354875,0.238,0.194,1,8000,1,0
GH,Sun,Yes,0.56325,0.177125,0.1355,0.124125,1,8000,1,0
NAM,Sun,No,0.38,0.1895,0.230875,0.199625,1,8000,1,0
NAM,Sun,Yes,0.82875,0.034625,0.065,0.071625,1,8000,1,0
PJ,Sun,No,0.5255,0.105375,0.186375,0.18275,1,8000,1,0
PJ,Sun,Yes,0.577375,0.09525,0.167,0.160375,1,8000,1,0
CS,Sun,No,0.529875,0.21625,0.1325,0.121375,1,8000,1,0
CS,Sun,Yes,0.150625,0.7365,0.062375,0.0505,1,8000,1,0
