Site,Cov,fac_present,dominant_Ricker,dominant_p_Ricker,dominant_BH,dominant_p_BH,same_dominant_outcome,delta_dominant_probability
BEN,Shade,No,TROR wins,0.589375,TROR wins,0.513375,TRUE,0.07599999999999996
BEN,Shade,Yes,TRCY wins,0.32725,TRCY wins,0.3855,TRUE,-0.058250000000000024
BEN,Sun,No,TROR wins,0.4015,TROR wins,0.321875,TRUE,0.079625
BEN,Sun,Yes,TRCY wins,0.378375,TRCY wins,0.50825,TRUE,-0.12987499999999996
GH,Shade,No,TROR wins,0.570625,TROR wins,0.573875,TRUE,-0.003249999999999975
GH,Shade,Yes,TROR wins,0.399375,TROR wins,0.32925,TRUE,0.07012499999999999
GH,Sun,No,TROR wins,0.4475,TROR wins,0.354875,TRUE,0.09262500000000001
GH,Sun,Yes,TROR wins,0.3175,TRCY wins,0.56325,FALSE,-0.24575000000000002
NAM,Shade,No,TROR wins,0.431875,TROR wins,0.356875,TRUE,0.07500000000000001
NAM,Shade,Yes,TRCY wins,0.34275,TRCY wins,0.552625,TRUE,-0.20987500000000003
NAM,Sun,No,TROR wins,0.344875,TRCY wins,0.38,FALSE,-0.03512500000000002
NAM,Sun,Yes,TRCY wins,0.5335,TRCY wins,0.82875,TRUE,-0.29525
PJ,Shade,No,TROR wins,0.320125,TRCY wins,0.3475,FALSE,-0.027374999999999983
PJ,Shade,Yes,TRCY wins,0.406,TRCY wins,0.50925,TRUE,-0.10324999999999995
PJ,Sun,No,TROR wins,0.28325,TRCY wins,0.5255,FALSE,-0.24224999999999997
PJ,Sun,Yes,TRCY wins,0.292625,TRCY wins,0.577375,TRUE,-0.28474999999999995
CS,Shade,No,TRCY wins,0.37925,TROR wins,0.53925,FALSE,-0.16000000000000003
CS,Shade,Yes,TROR wins,0.589625,TROR wins,0.724125,TRUE,-0.13450000000000006
CS,Sun,No,TRCY wins,0.416,TRCY wins,0.529875,TRUE,-0.113875
CS,Sun,Yes,TROR wins,0.642,TROR wins,0.7365,TRUE,-0.09450000000000003
