Site,panel_row,p_coexist_Ricker,p_coexist_BH,delta_Ricker_minus_BH,abs_delta
CS,Shade-High,0.1025,0.018375,0.08412499999999999,0.08412499999999999
NAM,Sun-High,0.144875,0.064875,0.08,0.08
CS,Sun-High,0.08525,0.016375,0.068875,0.068875
BEN,Shade-None,0.14675,0.204125,-0.05737500000000001,0.05737500000000001
CS,Shade-None,0.1375,0.082,0.05550000000000001,0.05550000000000001
GH,Sun-None,0.18475,0.23725,-0.05249999999999999,0.05249999999999999
GH,Sun-High,0.1825,0.135375,0.047125,0.047125
NAM,Shade-None,0.192125,0.238875,-0.046750000000000014,0.046750000000000014
BEN,Sun-None,0.189625,0.230625,-0.04100000000000001,0.04100000000000001
PJ,Shade-High,0.106125,0.06975,0.03637499999999999,0.03637499999999999
GH,Shade-None,0.156875,0.19025,-0.033375000000000016,0.033375000000000016
PJ,Sun-High,0.199,0.166625,0.032375000000000015,0.032375000000000015
CS,Sun-None,0.16075,0.129125,0.031625000000000014,0.031625000000000014
PJ,Shade-None,0.207875,0.235375,-0.027499999999999997,0.027499999999999997
NAM,Shade-High,0.18525,0.158375,0.02687500000000001,0.02687500000000001
NAM,Sun-None,0.20475,0.23,-0.025250000000000022,0.025250000000000022
PJ,Sun-None,0.199875,0.186125,0.013749999999999984,0.013749999999999984
GH,Shade-High,0.18925,0.199625,-0.010374999999999995,0.010374999999999995
BEN,Shade-High,0.160375,0.1675,-0.00712500000000002,0.00712500000000002
BEN,Sun-High,0.16775,0.173,-0.005249999999999977,0.005249999999999977
