model_family,Site,Cov,n_draws,fac_asym_med,fac_asym_lwr,fac_asym_upr,dlog_TRCY_med,dlog_TROR_med,p_asym_TRCY_gt_TROR,p_asym_TROR_gt_TRCY,p_valid_draw,p_fitness_ratio_positive,p_fitness_ratio_zero_or_negative,p_TRCY_wins,p_TROR_wins,p_coexist,p_priority,p_unclassified,p_asym_matches_winner,logfit_med,logfit_lwr,logfit_upr,p_logfit_TRCY_gt_TROR,p_logfit_same_direction
BH,BEN,Sun,8000,0.3970142244913859,-0.5937938547293886,1.4109411771172056,0.437653232128449,0.03234945985756976,0.787125,0.212875,1,0.9975,0.0025,0.50825,0.165875,0.173125,0.15275,0,0.8103096606712406,0.39349655815561846,-1.068269088619811,1.823869891904104,0.6964912280701754,0.7468671679197995
BH,GH,Sun,8000,0.6571026605392266,-0.9508419174266582,2.2259942610380947,1.5490027870544065,0.9053610880698855,0.785375,0.214625,1,0.9995,5e-4,0.56325,0.177125,0.1355,0.124125,0,0.8922843153807193,0.5431217911649622,-1.3330629850653046,2.3672315998996956,0.716983491745873,0.8341670835417709
BH,NAM,Sun,8000,0.9801474470377746,-0.2302375265466651,2.3600323941379115,1.1183039611736314,0.1368593508930519,0.94425,0.05575,1,0.993625,0.006375,0.82875,0.034625,0.065,0.071625,0,0.9561314608368322,1.2334942198347867,-0.3781746970781803,3.114297872900563,0.932318530632784,0.9262800352245566
BH,PJ,Sun,8000,0.07300890001649663,-0.40285167702476815,0.6265235356127885,-0.07453826648409767,-0.14634256932989342,0.616875,0.383125,1,0.996875,0.003125,0.577375,0.09525,0.167,0.160375,0,0.6874186954097752,0.5066482691899706,-0.7122939361915673,1.7609095653687223,0.7967398119122258,0.6487774294670846
BH,CS,Sun,8000,-1.295298680127513,-5.931159664016973,3.580130113930229,-1.580694203754367,-0.2836821009810718,0.2695,0.7305,1,0.490125,0.509875,0.150625,0.7365,0.062375,0.0505,0,0.6616880371988164,-0.23753486340637953,-4.161587365762139,3.1436287064914232,0.4157102779903086,0.5266513644478449
BH,BEN,Shade,8000,0.4430073876548507,-0.9690414753586196,1.8608334602047896,1.1525825679521011,0.7067701327752733,0.734625,0.265375,1,0.99725,0.00275,0.3855,0.303375,0.16775,0.143375,0,0.8007621121393577,0.10424526702233057,-1.7123391775272292,2.0311677747052213,0.5470042617197293,0.7364001002757583
BH,GH,Shade,8000,0.3723740523101262,-0.6179027382848691,1.3564019440753978,1.131002191512613,0.7646120079860044,0.779125,0.220875,1,0.9975,0.0025,0.29975,0.32925,0.20025,0.17075,0,0.6911764705882353,-0.023807301602285915,-1.509226553675084,1.4255883050360998,0.48659147869674185,0.643984962406015
BH,NAM,Shade,8000,0.5496496380420558,-0.46984894430485846,1.5779951239646284,1.0583773280706517,0.5080551554664703,0.861625,0.138375,1,0.994,0.006,0.552625,0.147,0.159,0.141375,0,0.861890298374129,0.49497316094335675,-1.037910494710699,2.0285003952154503,0.7380533199195171,0.7974094567404426
BH,PJ,Shade,8000,0.9974700466510602,-2.285053535113373,5.298686674682975,1.0737076100610103,0.09632812315537631,0.711,0.289,1,0.8505,0.1495,0.50925,0.357375,0.070125,0.06325,0,0.7863839607673446,0.8426746933229935,-2.4496401299114683,4.847712027826851,0.6828336272780717,0.9032921810699589
BH,CS,Shade,8000,-0.5985856267993932,-2.9621216457379123,1.8258716128754373,-0.600751220730947,0.001469956513905496,0.288875,0.711125,1,0.519,0.481,0.15925,0.724125,0.063625,0.053,0,0.635205886514787,-0.27178961590216466,-3.938264783782625,2.8936138286884217,0.41184971098265893,0.47928709055876684
Ricker,BEN,Sun,8000,0.4266004632942938,-0.5693022639992443,1.4197184025291336,0.37429495400094603,-0.0495945559614096,0.805125,0.194875,1,0.998875,0.001125,0.378375,0.236875,0.16775,0.217,0,0.7180008126777733,0.09946791416497618,-0.8653481834182648,1.1504371930404258,0.5807783756726317,0.6624953072206232
Ricker,GH,Sun,8000,0.5869232013603041,-0.9254495205856739,2.1552005773437237,1.2316362473083886,0.6527937779188433,0.77475,0.22525,1,1,0,0.263,0.3175,0.1825,0.237,0,0.6261843238587425,-0.03763100767510652,-0.9767871978555617,0.8565357266701089,0.4665,0.59025
Ricker,NAM,Sun,8000,1.1214621028329983,-0.10463399586402065,2.481048624448271,0.9897458832355088,-0.12775904517540637,0.963625,0.036375,1,0.998875,0.001125,0.5335,0.11775,0.144875,0.203875,0,0.8280230326295586,0.300534638757088,-0.6296442546737322,1.3172291244261911,0.7459642097359529,0.7535977975222125
Ricker,PJ,Sun,8000,0.06831673121064719,-0.38233005510727847,0.5629440724414471,-0.09752685634078384,-0.1586687874527164,0.61375,0.38625,1,1,0,0.292625,0.2565,0.199,0.251875,0,0.5720464375142272,0.021078598977684992,-0.8305147270692228,0.8368909472137722,0.52025,0.5505
Ricker,CS,Sun,8000,-1.109952169000517,-4.014156754421703,1.7241766932164466,-0.17126991085498544,0.9286848296270098,0.22575,0.77425,1,0.882625,0.117375,0.16375,0.642,0.085625,0.108625,0,0.8721687868445548,-0.4919998694868567,-2.810818166618102,1.5423283206936202,0.2709247981872256,0.8412406174762781
Ricker,BEN,Shade,8000,0.5010465344068809,-0.8742030893614686,1.8928422493902848,1.0963441241778686,0.5885611732930807,0.761625,0.238375,1,0.995375,0.004625,0.32725,0.3155,0.160375,0.196875,0,0.7250097238428627,0.008630894267529778,-1.1273244723647629,1.3709258933799349,0.5055883461007158,0.669722466407133
Ricker,GH,Shade,8000,0.378203758805032,-0.5955670506049703,1.3052707726697848,0.9919265057609785,0.6143648285098414,0.78325,0.21675,1,1,0,0.18325,0.399375,0.18925,0.228125,0,0.5052563827504827,-0.15815251214162251,-1.052216708258633,0.7123703758795243,0.365,0.49475
Ricker,NAM,Shade,8000,0.6491092054600324,-0.3640230153078554,1.6366825138201908,0.9946060620999916,0.35440941627333167,0.898,0.102,1,0.999875,1.25e-4,0.34275,0.231625,0.18525,0.240375,0,0.6585418933623504,0.07601231437670157,-0.8301550216579201,0.9734281730774744,0.5629453681710214,0.6074509313664208
Ricker,PJ,Shade,8000,1.0188604836779052,-2.1415968014143347,4.896874738435226,0.8600615486657368,-0.14346116536750586,0.732875,0.267125,1,0.861875,0.138125,0.406,0.348375,0.106125,0.1395,0,0.7164871582435791,0.21399064914051263,-1.0657493205081119,2.860761079452338,0.6201595358955765,0.8044960116026106
Ricker,CS,Shade,8000,-0.5111935455552893,-1.997152685544608,0.9637244354375544,0.10122185135044459,0.599378024681674,0.248875,0.751125,1,0.924375,0.075625,0.1715,0.589625,0.102625,0.13625,0,0.8324848086713746,-0.3859138965248166,-2.376686970859586,1.342481673886327,0.2896551724137931,0.7926977687626775
