focsp,Site,Cov,alpha_ii_med,alpha_ii_lwr,alpha_ii_upr,alpha_ij_med,alpha_ij_lwr,alpha_ij_upr
TRCY,BEN,Shade,0.01080064818551006,0.004127240062233685,0.019331022688481362,0.019324971676194073,0.008184250295456462,0.03240068463410036
TRCY,BEN,Sun,0.01080064818551006,0.004127240062233685,0.019331022688481362,0.019324971676194073,0.008184250295456462,0.03240068463410036
TRCY,GH,Shade,0.01080064818551006,0.004127240062233685,0.019331022688481362,0.019324971676194073,0.008184250295456462,0.03240068463410036
TRCY,GH,Sun,0.01080064818551006,0.004127240062233685,0.019331022688481362,0.019324971676194073,0.008184250295456462,0.03240068463410036
TRCY,NAM,Shade,0.01080064818551006,0.004127240062233685,0.019331022688481362,0.019324971676194073,0.008184250295456462,0.03240068463410036
TRCY,NAM,Sun,0.01080064818551006,0.004127240062233685,0.019331022688481362,0.019324971676194073,0.008184250295456462,0.03240068463410036
TRCY,PJ,Shade,0.01080064818551006,0.004127240062233685,0.019331022688481362,0.019324971676194073,0.008184250295456462,0.03240068463410036
TRCY,PJ,Sun,0.01080064818551006,0.004127240062233685,0.019331022688481362,0.019324971676194073,0.008184250295456462,0.03240068463410036
TRCY,CS,Shade,0.01080064818551006,0.004127240062233685,0.019331022688481362,0.019324971676194073,0.008184250295456462,0.03240068463410036
TRCY,CS,Sun,0.01080064818551006,0.004127240062233685,0.019331022688481362,0.019324971676194073,0.008184250295456462,0.03240068463410036
TROR,BEN,Shade,0.01509966075547186,0.004745814246906851,0.030056243688383177,0.009082308668563147,0.0037109873517192815,0.01586787832290532
TROR,BEN,Sun,0.01509966075547186,0.004745814246906851,0.030056243688383177,0.009082308668563147,0.0037109873517192815,0.01586787832290532
TROR,GH,Shade,0.01509966075547186,0.004745814246906851,0.030056243688383177,0.009082308668563147,0.0037109873517192815,0.01586787832290532
TROR,GH,Sun,0.01509966075547186,0.004745814246906851,0.030056243688383177,0.009082308668563147,0.0037109873517192815,0.01586787832290532
TROR,NAM,Shade,0.01509966075547186,0.004745814246906851,0.030056243688383177,0.009082308668563147,0.0037109873517192815,0.01586787832290532
TROR,NAM,Sun,0.01509966075547186,0.004745814246906851,0.030056243688383177,0.009082308668563147,0.0037109873517192815,0.01586787832290532
TROR,PJ,Shade,0.01509966075547186,0.004745814246906851,0.030056243688383177,0.009082308668563147,0.0037109873517192815,0.01586787832290532
TROR,PJ,Sun,0.01509966075547186,0.004745814246906851,0.030056243688383177,0.009082308668563147,0.0037109873517192815,0.01586787832290532
TROR,CS,Shade,0.01509966075547186,0.004745814246906851,0.030056243688383177,0.009082308668563147,0.0037109873517192815,0.01586787832290532
TROR,CS,Sun,0.01509966075547186,0.004745814246906851,0.030056243688383177,0.009082308668563147,0.0037109873517192815,0.01586787832290532
