Site,Cov,fac_sc,niche_med,niche_lwr,niche_upr,fit_med,fit_lwr,fit_upr,p_coexist,p_TRCY_wins,p_TROR_wins,p_priority,mean_g_TROR,mean_g_TRCY,p_valid_kappa,n_obs,p_sum,p_unclassified,max_support,most_supported_outcome,outcome_90
BEN,Shade,0,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.6833183841901073,0.24551399112825528,1.60887687543994,0.14675,0.083375,0.589375,0.1805,1,1,1,128,1,0,0.589375,TROR_wins,ambiguous
BEN,Shade,1,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.7838256102439398,0.3191284625980677,1.8161992133859188,0.18175,0.133,0.472125,0.213125,1,1,1,13,1,0,0.472125,TROR_wins,ambiguous
BEN,Shade,2,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.8648904021067403,0.3353259147526978,2.2212204508922673,0.1825,0.20025,0.398875,0.218375,1,1,1,5,1,0,0.398875,TROR_wins,ambiguous
BEN,Shade,3,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.9351982006803032,0.3302984962975808,2.7453981597558634,0.17275,0.264,0.35175,0.2115,1,1,1,5,1,0,0.35175,TROR_wins,ambiguous
BEN,Shade,4,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.9836779343147506,0.31634616009705896,3.423081313774032,0.164875,0.307875,0.323375,0.203875,1,1,1,2,1,0,0.323375,TROR_wins,ambiguous
BEN,Shade,5,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.0238961562785933,0.2979614607952989,4.401328865094817,0.1535,0.34525,0.309625,0.191625,1,1,1,2,1,0,0.34525,TRCY_wins,ambiguous
BEN,Sun,0,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.8614169714660408,0.35711038341517687,2.004038755737077,0.189625,0.18,0.4015,0.228875,1,1,1,37,1,0,0.4015,TROR_wins,ambiguous
BEN,Sun,1,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.8916581033850597,0.37368955089081834,2.066282333186206,0.195875,0.199625,0.368875,0.235625,1,1,1,26,1,0,0.368875,TROR_wins,ambiguous
BEN,Sun,2,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.9268945157706401,0.3879231081316241,2.138716324527128,0.2005,0.2245,0.3325,0.2425,1,1,1,28,1,0,0.3325,TROR_wins,ambiguous
BEN,Sun,3,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.9631037910328004,0.39865484640461957,2.2606166469391225,0.19675,0.2505,0.30625,0.2465,1,1,1,10,1,0,0.30625,TROR_wins,ambiguous
BEN,Sun,4,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.9977836229421708,0.40786576435371213,2.3652838774333134,0.19,0.281875,0.280625,0.2475,1,1,1,8,1,0,0.281875,TRCY_wins,ambiguous
BEN,Sun,5,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.0283304578445545,0.4166506721009128,2.5496328287315224,0.18225,0.316125,0.262875,0.23875,1,1,1,7,1,0,0.316125,TRCY_wins,ambiguous
BEN,Sun,6,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.061958628111665,0.42050634121579344,2.7818578696710747,0.175875,0.347625,0.248,0.2285,1,1,1,8,1,0,0.347625,TRCY_wins,ambiguous
