focsp,Site,Cov,fac_sc,lambda_med,lambda_lwr,lambda_upr
TRCY,BEN,Shade,0,2.49188623966298,1.2563028815527573,4.405919486132883
TRCY,BEN,Shade,1,3.1695496770107683,1.5921103507534173,5.679511954321428
TRCY,BEN,Shade,2,4.013871289969156,1.9224747025892748,7.812748354507889
TRCY,BEN,Shade,2.5,4.5300168192681705,2.087841373337313,9.34500282962651
TRCY,BEN,Shade,3,5.100704649093491,2.2460152803002074,11.08513815483657
TRCY,BEN,Shade,4,6.481698235818009,2.52900959751628,16.15690790406481
TRCY,BEN,Shade,4.5,7.292883360067347,2.6709793006010534,19.85594423533048
TRCY,BEN,Shade,5,8.218471418254481,2.788629403918925,24.13766408272912
TRCY,BEN,Shade,6,10.447862101866136,3.0009049501707565,35.95501086698552
TRCY,BEN,Shade,7,13.33268698008075,3.2509458670555462,53.18482997456593
TRCY,BEN,Shade,7.117647058823529,13.718344314343218,3.2676403826568023,55.569029379718266
TRCY,BEN,Shade,8,17.020066405474406,3.449188171396964,78.98531954033422
TRCY,BEN,Shade,9,21.730833076917193,3.6910350520314235,117.44978445810453
TRCY,BEN,Shade,10,27.735888894084336,3.8843258412664228,176.05770534243567
TRCY,BEN,Shade,17,151.79536086676612,5.5826497704498586,3391.228461046813
TRCY,BEN,Sun,0,5.1353768892301055,2.598014815961007,9.214113956447722
TRCY,BEN,Sun,1,5.4026400099024485,2.7486712679456913,9.62289586796926
TRCY,BEN,Sun,2,5.695565468681844,2.872618356078198,10.235929634601726
TRCY,BEN,Sun,2.5,5.8426350814432135,2.9159225571409655,10.603878837169642
TRCY,BEN,Sun,3,5.995407793197106,2.9517778041021403,11.051501148096348
TRCY,BEN,Sun,4,6.3024977020684485,3.0105934334370312,11.991531794657575
TRCY,BEN,Sun,4.5,6.463941782808248,3.0358702688923853,12.62070601115164
TRCY,BEN,Sun,5,6.644235108754275,3.024558615448014,13.342806419080683
TRCY,BEN,Sun,6,6.992644578866652,3.0324255772927464,14.949593284162649
TRCY,BEN,Sun,7,7.3741032888358955,3.003788147090845,16.994435435454328
TRCY,BEN,Sun,7.117647058823529,7.421482985025898,2.9870596210994464,17.229050329102787
TRCY,BEN,Sun,8,7.768411507590834,2.9835195277956337,19.202577491945036
TRCY,BEN,Sun,9,8.177304747635597,2.9385033850459847,21.741165236554124
TRCY,BEN,Sun,10,8.611354513811348,2.8409134267126244,24.976308989921222
TRCY,BEN,Sun,17,12.40716582502298,2.262941740461211,66.03686670055417
TRCY,GH,Shade,0,5.187112319412396,2.497616751338925,11.567539040245595
TRCY,GH,Shade,1,7.701788547172856,3.6362807398408696,17.503399755893692
TRCY,GH,Shade,2,11.48810976908986,4.742625598619212,29.113561783250734
