Site,panel_row,p_coexist,prob_lab
BEN,Sun-None,0.189625,19%
BEN,Sun-High,0.16775,17%
BEN,Shade-None,0.14675,15%
BEN,Shade-High,0.160375,16%
GH,Sun-None,0.18475,18%
GH,Sun-High,0.1825,18%
GH,Shade-None,0.156875,16%
GH,Shade-High,0.18925,19%
NAM,Sun-None,0.20475,20%
NAM,Sun-High,0.144875,14%
NAM,Shade-None,0.192125,19%
NAM,Shade-High,0.18525,19%
PJ,Sun-None,0.199875,20%
PJ,Sun-High,0.199,20%
PJ,Shade-None,0.207875,21%
PJ,Shade-High,0.106125,11%
CS,Sun-None,0.16075,16%
CS,Sun-High,0.08525,9%
CS,Shade-None,0.1375,14%
CS,Shade-High,0.1025,10%
