Site,Cov,fac_level,panel_row,species,ldgr_med,ldgr_lwr,ldgr_upr,p_ldgr_positive
BEN,Shade,None,Shade-None,TRCY,-0.4093197701567768,-3.877064693555524,0.49508595196013777,0.229875
BEN,Shade,None,Shade-None,TROR,0.2730452870637448,-1.2120456535678183,0.9010492726409444,0.735375
BEN,Shade,High,Shade-High,TRCY,-0.02885924902512186,-6.365268178591856,1.6932083452724431,0.49225
BEN,Shade,High,Shade-High,TROR,-0.07776498770129073,-3.47369808250795,1.5648795176678771,0.47125
BEN,Sun,None,Sun-None,TRCY,-0.3110091653072541,-5.305702932287949,1.0135863948488928,0.369625
BEN,Sun,None,Sun-None,TROR,0.16669896099551673,-2.5191275161797013,1.141026243217775,0.591125
BEN,Sun,High,Sun-High,TRCY,0.13598342374023548,-4.761391654366961,1.571465561076619,0.54725
BEN,Sun,High,Sun-High,TROR,-0.23399537563756234,-3.5718784318521575,1.103443507963947,0.4035
GH,Shade,None,Shade-None,TRCY,-0.7093914772000934,-6.740309334109875,0.8186871350244889,0.235625
GH,Shade,None,Shade-None,TROR,0.4771119630800588,-2.1018181069685498,1.4756763475879757,0.7275
GH,Shade,High,Shade-High,TRCY,-0.5027307656370839,-8.781826564533084,1.600069956814418,0.3725
GH,Shade,High,Shade-High,TROR,0.2583345275760761,-4.0456642288796845,1.9202302870771515,0.588625
GH,Sun,None,Sun-None,TRCY,-0.6131099514948248,-8.318343253728173,1.3689089194758277,0.326875
GH,Sun,None,Sun-None,TROR,0.3706561632701264,-3.43078236813415,1.7270419767751704,0.63225
GH,Sun,High,Sun-High,TRCY,-0.2612479620117505,-10.20939465673181,2.630773684379954,0.4455
GH,Sun,High,Sun-High,TROR,-1.0756624929809857e-4,-6.040802937661964,2.2356762737072344,0.5
NAM,Shade,None,Shade-None,TRCY,-0.4439770338909236,-6.255634953394217,1.0457700847842861,0.333875
NAM,Shade,None,Shade-None,TROR,0.24288756429276026,-2.574635020845583,1.3153541448032482,0.624
NAM,Shade,High,Shade-High,TRCY,0.12764582000449515,-7.344521363751559,1.9866529204729608,0.528125
NAM,Shade,High,Shade-High,TROR,-0.23471061488790712,-4.694172729524375,1.5126119321405602,0.41675
NAM,Sun,None,Sun-None,TRCY,-0.34909736109994405,-7.75005500833953,1.5790715951821583,0.408625
NAM,Sun,None,Sun-None,TROR,0.13761493540134628,-3.8881043177420196,1.5502329695007793,0.549625
NAM,Sun,High,Sun-High,TRCY,0.8425288613236688,-6.645867599917292,2.8860966302881423,0.6795
NAM,Sun,High,Sun-High,TROR,-0.8510741303809687,-6.581225192690393,1.3104487341805087,0.2615
PJ,Shade,None,Shade-None,TRCY,-0.2601113426425077,-6.71274704134593,1.394742771453259,0.426125
PJ,Shade,None,Shade-None,TROR,0.06497183620061743,-3.558996415052878,1.3607024210664993,0.528
PJ,Shade,High,Shade-High,TRCY,0.9157129460896669,-8.017307707930497,3.865157731733892,0.65025
PJ,Shade,High,Shade-High,TROR,-1.000289916744951,-7.213288094070376,2.4431077854703735,0.316375
PJ,Sun,None,Sun-None,TRCY,-0.1535788464537279,-8.279577316281873,1.923830926100533,0.4625
PJ,Sun,None,Sun-None,TROR,-0.04677054219429559,-4.825734872522072,1.6459706792838857,0.483125
PJ,Sun,High,Sun-High,TRCY,-0.03266865922312874,-7.561339274482003,1.9397438032174883,0.491625
PJ,Sun,High,Sun-High,TROR,-0.13857757558930617,-4.785486132450565,1.5184229562962939,0.4555
CS,Shade,None,Shade-None,TRCY,0.0856871757281768,-2.958616791642426,0.9778413198298511,0.557375
CS,Shade,None,Shade-None,TROR,-0.12674670659348025,-1.9145458774223563,0.7759689916191269,0.398875
CS,Shade,High,Shade-High,TRCY,-0.5848204069959245,-5.97782008571071,1.1935790895757858,0.298125
CS,Shade,High,Shade-High,TROR,0.3740607349414178,-2.0582576624442552,1.7988758969658307,0.6645
CS,Sun,None,Sun-None,TRCY,0.19647193642466163,-4.301551330921509,1.39339401454101,0.5785
CS,Sun,None,Sun-None,TROR,-0.24235610352217055,-3.0951757852112567,0.9472459477136183,0.36475
CS,Sun,High,Sun-High,TRCY,-1.1987842084210754,-9.90536408378441,1.9866362436860883,0.276875
CS,Sun,High,Sun-High,TROR,0.791207735644149,-3.2716719216808547,3.232315159674321,0.69525
