"Site","Cov","fac_label","fac_sc","species","species_code","igr_med","igr_lwr","igr_upr","p_positive","x_group","x_label"
"BEN","SH","Without facilitator",0,"T. cyanopetala","TRCY",-1.36950441778593,-2.88088072922213,-0.347061899131733,0.003,"BEN__TRCY","TRCY"
"BEN","SH","Without facilitator",0,"T. ornata","TROR",-0.0394338595009702,-1.15606239759254,0.588644204142179,0.4575,"BEN__TROR","TROR"
"BEN","SUN","Without facilitator",0,"T. cyanopetala","TRCY",-1.02196431057931,-2.68927126607292,0.165860127804205,0.048625,"BEN__TRCY","TRCY"
"BEN","SUN","Without facilitator",0,"T. ornata","TROR",0.388037534421714,-0.76301176780464,1.03862728697006,0.819625,"BEN__TROR","TROR"
"GH","SH","Without facilitator",0,"T. cyanopetala","TRCY",-0.699833243517119,-4.07558276202314,0.97651472484327,0.259375,"GH__TRCY","TRCY"
"GH","SH","Without facilitator",0,"T. ornata","TROR",-0.125312541086019,-3.27462806339734,1.30025866216463,0.452875,"GH__TROR","TROR"
"GH","SUN","Without facilitator",0,"T. cyanopetala","TRCY",-0.293179362774643,-3.7914377551765,1.60034199415028,0.409625,"GH__TRCY","TRCY"
"GH","SUN","Without facilitator",0,"T. ornata","TROR",-0.0505834931590191,-3.28904562297926,1.63887582344141,0.482125,"GH__TROR","TROR"
"NAM","SH","Without facilitator",0,"T. cyanopetala","TRCY",-0.514317760412418,-3.85897934737271,1.11645650828672,0.32225,"NAM__TRCY","TRCY"
"NAM","SH","Without facilitator",0,"T. ornata","TROR",-0.346189658220656,-3.41148633192809,1.10875049846379,0.36775,"NAM__TROR","TROR"
"NAM","SUN","Without facilitator",0,"T. cyanopetala","TRCY",-0.0858243310030288,-3.54855391515033,1.75558252926185,0.476625,"NAM__TRCY","TRCY"
"NAM","SUN","Without facilitator",0,"T. ornata","TROR",-0.314979642764498,-3.49706781400023,1.48384181690079,0.397875,"NAM__TROR","TROR"
"PJ","SH","Without facilitator",0,"T. cyanopetala","TRCY",0.119570607906983,-1.04024291857884,0.663520993480606,0.6215,"PJ__TRCY","TRCY"
"PJ","SH","Without facilitator",0,"T. ornata","TROR",-0.113998038154494,-1.10166947379763,0.425070827802079,0.35575,"PJ__TROR","TROR"
"PJ","SUN","Without facilitator",0,"T. cyanopetala","TRCY",0.378075314684935,-0.939937809920992,1.18315162153686,0.746875,"PJ__TRCY","TRCY"
"PJ","SUN","Without facilitator",0,"T. ornata","TROR",-0.332619524842157,-1.49627737615969,0.489342666743029,0.238125,"PJ__TROR","TROR"
"CS","SH","Without facilitator",0,"T. cyanopetala","TRCY",-1.31607525092697,-4.60732920316418,0.182100317440465,0.055625,"CS__TRCY","TRCY"
"CS","SH","Without facilitator",0,"T. ornata","TROR",-1.34422192371702,-4.54275122851401,0.114143928299607,0.039125,"CS__TROR","TROR"
"CS","SUN","Without facilitator",0,"T. cyanopetala","TRCY",-0.612677701021559,-3.91026455314084,0.907130826302395,0.2785,"CS__TRCY","TRCY"
"CS","SUN","Without facilitator",0,"T. ornata","TROR",-0.997999745958452,-4.18527474155668,0.506329863597325,0.127375,"CS__TROR","TROR"
