"Site","Cov","fac_label","fac_sc","species","species_code","igr_med","igr_lwr","igr_upr","p_positive","x_group","site_colour","site_label","fill_value"
"BEN","SH","Without facilitator",0,"T. cyanopetala","TRCY",-0.29288703398316,-1.7702381387325,0.837795218958807,0.312375,"BEN__Without facilitator__TRCY","#6F2DBD","Ben","white"
"BEN","SH","Without facilitator",0,"T. ornata","TROR",0.31656635819756,-0.888054872010685,1.21873338220162,0.714625,"BEN__Without facilitator__TROR","#6F2DBD","Ben","white"
"BEN","SH","With facilitator",2.07407407407407,"T. cyanopetala","TRCY",-0.103216696852144,-1.71525182877648,1.19398299086803,0.43975,"BEN__With facilitator__TRCY","#6F2DBD","Ben","#6F2DBD"
"BEN","SH","With facilitator",2.07407407407407,"T. ornata","TROR",0.152846986814297,-1.23398500312821,1.27582748577695,0.597,"BEN__With facilitator__TROR","#6F2DBD","Ben","#6F2DBD"
"BEN","SUN","Without facilitator",0,"T. cyanopetala","TRCY",-0.0281163266974345,-1.5998597733544,1.28446006469781,0.483625,"BEN__Without facilitator__TRCY","#6F2DBD","Ben","white"
"BEN","SUN","Without facilitator",0,"T. ornata","TROR",0.0660748078329237,-1.25452095881338,1.20201454881719,0.543375,"BEN__Without facilitator__TROR","#6F2DBD","Ben","white"
"BEN","SUN","With facilitator",3.91428571428571,"T. cyanopetala","TRCY",0.196617267375038,-1.37581084411555,1.49679606484675,0.6105,"BEN__With facilitator__TRCY","#6F2DBD","Ben","#6F2DBD"
"BEN","SUN","With facilitator",3.91428571428571,"T. ornata","TROR",-0.143439468839172,-1.54875254451544,1.05261610040658,0.410375,"BEN__With facilitator__TROR","#6F2DBD","Ben","#6F2DBD"
"GH","SH","Without facilitator",0,"T. cyanopetala","TRCY",-0.351836509753933,-1.77490191910587,0.684322554833856,0.260125,"GH__Without facilitator__TRCY","#5E81D8","GH","white"
"GH","SH","Without facilitator",0,"T. ornata","TROR",0.36774047697294,-0.766626071775576,1.16311650753556,0.76,"GH__Without facilitator__TROR","#5E81D8","GH","white"
