year,site,site_num,trt,block,lat,long
2020,Bendering,5,shade,2,-32.3964739,118.3868963
2020,Bendering,5,shade,3,-32.3968229,118.3871283
2020,Bendering,5,shade ,1,-32.3965523,118.3872345
2020,Bendering,5,sun,1,-32.3965022,118.3871548
2020,Bendering,5,sun,2,-32.3967989,118.386913
2020,Bendering,5,sun,3,-32.3971754,118.3869472
2020,CS,2,shade,1,-29.402112,116.623721
2020,CS,2,shade,2,-29.402742,116.623442
2020,CS,2,shade,3,-29.402355,116.623503
2020,CS,2,sun,1,-29.402283,116.623733
2020,CS,2,sun,2,-29.402587,116.623688
2020,CS,2,sun,3,-29.402058,116.623813
2020,GH,4,shade,1,-31.945349,116.975277
2020,GH,4,shade,2,-31.945478,116.974615
2020,GH,4,shade,3,-31.945212,116.974768
2020,GH,4,sun,1,-31.945173,116.97442
2020,GH,4,sun,2,-31.945393,116.974426
2020,GH,4,sun,3,-31.94561,116.974892
2020,Nam,3,sun,2,-31.187355,117.189443
2020,Nam,3,shade,1,-31.187325,117.189733
2020,Nam,3,shade,2,-31.187421,117.18974
2020,Nam,3,sun,3,-31.186821,117.189488
2020,Nam,3,shade,3,-31.18685,117.189878
2020,Nam,3,sun,1,-31.187025,117.190218
2020,Perenjori,1,shade,3,-29.479549,116.199405
2020,Perenjori,1,sun,3,-29.479564,116.199527
2020,Perenjori,1,shade,2,-29.479351,116.199621
2020,Perenjori,1,sun,2,-29.47924,116.199609
2020,Perenjori,1,sun,1,-29.479217,116.199893
2020,Perenjori,1,shade,1,-29.479275,116.200263
