"Site","Cov","focsp","n_total","n_germ","prop_germ"
"Ben","Shade","TRCY",121,78,0.644628099173554
"Ben","Shade","TROR",120,77,0.641666666666667
"Ben","Sun","TRCY",120,69,0.575
"Ben","Sun","TROR",120,64,0.533333333333333
"GH","Shade","TRCY",120,64,0.533333333333333
"GH","Shade","TROR",120,58,0.483333333333333
"GH","Sun","TRCY",120,91,0.758333333333333
"GH","Sun","TROR",120,93,0.775
"Nam","Shade","TRCY",120,71,0.591666666666667
"Nam","Shade","TROR",120,58,0.483333333333333
"Nam","Sun","TRCY",120,97,0.808333333333333
"Nam","Sun","TROR",120,86,0.716666666666667
"PJ","Shade","TRCY",120,102,0.85
"PJ","Shade","TROR",120,100,0.833333333333333
"PJ","Sun","TRCY",120,102,0.85
"PJ","Sun","TROR",120,88,0.733333333333333
"CS","Shade","TRCY",120,10,0.0833333333333333
"CS","Shade","TROR",120,9,0.075
"CS","Sun","TRCY",120,41,0.341666666666667
"CS","Sun","TROR",120,29,0.241666666666667
