"Site","Cov","BLK","Col","Row","TROR","TRCY","NO_GRASS","NO_FORB","NO_FOCAL","FOCAL_GERM","CHANGED_FOCAL","NOTES","fitness","Germination","dens_trt","CEC","pH","NO3.N","mean_percent_open","precip","pet","water_in_out","PC1","PC2","focsp","germ","intra","inter","fac","intra_sc","inter_sc","fac_sc"
"PJ","Sun","1",1,1,8,0,0,0,1,"Y",0,"",12,"Yes","High density monoculture",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,8,0,0,8,0,0
"PJ","Sun","1",1,3,0,15,0,0,1,"Y",0,"",30,"Yes","IWR + Facilitator",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,0,15,0,0,15,0
"PJ","Sun","1",1,4,0,0,0,0,1,"Y",0,"",49,"Yes","Invasion when rare (IWR)",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","1",1,5,0,3,0,0,1,"Y",0,"",6,"Yes","High density monoculture",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,3,0,0,3,0,0
"PJ","Sun","1",1,6,1,0,1,1,1,"Y",0,"",35,"Yes","IWR + Facilitator",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,1,1,0,1,1
"PJ","Sun","1",1,8,0,21,0,0,1,"Y",0,"",4,"Yes","Invasion when rare (IWR)",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,0,21,0,0,21,0
"PJ","Sun","1",2,1,5,0,0,1,1,"Y",0,"",8,"Yes","High density monoculture",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,5,0,0,5,0,0
"PJ","Sun","1",2,2,0,20,0,0,1,"Y",0,"",10,"Yes","Invasion when rare (IWR)",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,0,20,0,0,20,0
"PJ","Sun","1",2,4,5,0,0,0,1,"Y",0,"",29,"Yes","IWR + Facilitator",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,5,0,0,5,0
"PJ","Sun","1",2,5,0,16,0,2,1,"Y",0,"",12,"Yes","High density monoculture",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,16,0,0,16,0,0
"PJ","Sun","1",2,6,0,0,0,2,2,"Y",0,"",38,"Yes","Invasion when rare (IWR)",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","1",2,7,0,7,0,0,1,"Y",0,"",20,"Yes","IWR + Facilitator",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,0,7,0,0,7,0
"PJ","Sun","1",2,8,0,0,0,0,1,"Y",0,"",0,"No","lambda",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","1",3,1,2,0,0,4,1,"Y",0,"",30,"Yes","Invasion when rare (IWR)",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,2,0,0,2,0
"PJ","Sun","1",3,2,1,0,0,4,1,"Y",0,"",15,"Yes","High density monoculture",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,1,0,0,1,0,0
"PJ","Sun","1",3,3,0,22,0,0,1,"Y",0,"",24,"Yes","IWR + Facilitator",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,0,22,0,0,22,0
"PJ","Sun","1",3,4,0,23,0,0,1,"Y",0,"",26,"Yes","High density monoculture",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,23,0,0,23,0,0
"PJ","Sun","1",3,5,0,0,0,0,2,"Y",0,"",27,"Yes","lambda",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","1",3,7,11,0,0,3,1,"Y",0,"",23,"Yes","IWR + Facilitator",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,11,0,0,11,0
"PJ","Sun","1",3,8,0,8,0,0,1,"Y",0,"",6,"Yes","Invasion when rare (IWR)",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,0,8,0,0,8,0
"PJ","Sun","1",4,1,0,0,0,0,1,"Y",0,"",41,"Yes","IWR + Facilitator",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","1",4,3,0,0,0,0,1,"Y",0,"",20,"Yes","Invasion when rare (IWR)",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","1",4,4,0,0,0,0,1,"Y",0,"",15,"Yes","Invasion when rare (IWR)",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,0,0,0,0,0,0
"PJ","Sun","1",4,5,3,0,0,0,1,"Y",0,"",36,"Yes","High density monoculture",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,3,0,0,3,0,0
"PJ","Sun","1",4,6,0,25,0,0,1,"Y",0,"",8,"Yes","IWR + Facilitator",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,0,25,0,0,25,0
"PJ","Sun","1",4,7,0,0,0,0,1,"Y",0,"",16,"Yes","lambda",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","1",4,8,0,9,0,0,1,"Y",0,"",5,"Yes","High density monoculture",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,9,0,0,9,0,0
"PJ","Sun","1",5,1,0,28,0,0,1,"Y",0,"",18,"Yes","Invasion when rare (IWR)",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,0,28,0,0,28,0
"PJ","Sun","1",5,2,0,18,1,0,1,"Y",0,"",14,"Yes","IWR + Facilitator",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,0,18,1,0,18,1
"PJ","Sun","1",5,3,0,0,0,0,1,"Y",0,"",20,"Yes","Invasion when rare (IWR)",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","1",5,4,0,0,0,0,1,"Y",0,"",12,"Yes","lambda",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,0,0,0,0,0
"PJ","Sun","1",5,5,0,0,1,0,2,"Y",0,"",27,"Yes","IWR + Facilitator",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,0,1,0,0,1
"PJ","Sun","1",6,1,0,21,0,0,1,"Y",0,"",17,"Yes","High density monoculture",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,21,0,0,21,0,0
"PJ","Sun","1",6,3,1,0,0,0,1,"Y",0,"",9,"Yes","Invasion when rare (IWR)",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,1,0,0,1,0
"PJ","Sun","1",6,5,0,25,0,0,1,"Y",0,"",10,"Yes","Invasion when rare (IWR)",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,0,25,0,0,25,0
"PJ","Sun","1",6,6,5,0,0,0,2,"Y",0,"",33,"Yes","IWR + Facilitator",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,5,0,0,5,0
"PJ","Sun","1",6,7,0,18,0,0,1,"Y",0,"",13,"Yes","IWR + Facilitator",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TROR",TRUE,0,18,0,0,18,0
"PJ","Sun","1",7,3,1,0,0,0,1,"Y",0,"",0,"No","IWR + Facilitator",493,6.05,1.7,99.84,116.3,2300.9,0.050545439,-0.73766057,-0.169176813,"TRCY",TRUE,0,1,0,0,1,0
