Site,Cov,BLK,Row,Col,dens_trt,focsp
BEN,SUN,1,1,1,Invasion when rare (IWR),TRCY
BEN,SUN,1,1,2,lambda,TRCY
BEN,SUN,1,1,3,High density monoculture,TRCY
BEN,SUN,1,1,4,High density monoculture,TRCY
BEN,SUN,1,1,5,IWR + Facilitator,TRCY
BEN,SUN,1,1,6,Invasion when rare (IWR),TROR
BEN,SUN,1,1,7,lambda,TROR
BEN,SUN,1,1,8,IWR + Facilitator,TRCY
BEN,SUN,1,1,9,Invasion when rare (IWR),TRCY
BEN,SUN,1,1,10,High density monoculture,TROR
BEN,SUN,1,2,1,High density monoculture,TRCY
BEN,SUN,1,2,2,Invasion when rare (IWR),TRCY
BEN,SUN,1,2,3,IWR + Facilitator,TROR
BEN,SUN,1,2,4,IWR + Facilitator,TRCY
BEN,SUN,1,2,5,Invasion when rare (IWR),TROR
BEN,SUN,1,2,6,High density monoculture,TROR
BEN,SUN,1,2,7,IWR + Facilitator,TRCY
BEN,SUN,1,2,8,lambda,TRCY
BEN,SUN,1,2,9,lambda,TRCY
BEN,SUN,1,2,10,Invasion when rare (IWR),TROR
BEN,SUN,1,3,1,lambda,TROR
BEN,SUN,1,3,2,High density monoculture,TROR
BEN,SUN,1,3,3,lambda,TROR
BEN,SUN,1,3,4,lambda,TROR
BEN,SUN,1,3,5,IWR + Facilitator,TROR
BEN,SUN,1,3,6,High density monoculture,TRCY
BEN,SUN,1,3,7,High density monoculture,TRCY
BEN,SUN,1,3,8,High density monoculture,TRCY
BEN,SUN,1,3,9,IWR + Facilitator,TROR
BEN,SUN,1,3,10,High density monoculture,TRCY
BEN,SUN,1,4,1,Invasion when rare (IWR),TROR
BEN,SUN,1,4,2,lambda,TROR
BEN,SUN,1,4,3,High density monoculture,TROR
BEN,SUN,1,4,4,High density monoculture,TROR
BEN,SUN,1,4,5,High density monoculture,TRCY
BEN,SUN,1,4,6,IWR + Facilitator,TRCY
BEN,SUN,1,4,7,Invasion when rare (IWR),TRCY
BEN,SUN,1,4,8,Invasion when rare (IWR),TRCY
BEN,SUN,1,4,9,lambda,TROR
BEN,SUN,1,4,10,lambda,TRCY
BEN,SUN,1,5,1,High density monoculture,TROR
BEN,SUN,1,5,2,IWR + Facilitator,TRCY
BEN,SUN,1,5,3,Invasion when rare (IWR),TROR
BEN,SUN,1,5,4,lambda,TRCY
BEN,SUN,1,5,5,lambda,TRCY
BEN,SUN,1,5,6,Invasion when rare (IWR),TRCY
BEN,SUN,1,5,7,High density monoculture,TROR
BEN,SUN,1,5,8,IWR + Facilitator,TROR
BEN,SUN,1,5,9,High density monoculture,TRCY
BEN,SUN,1,5,10,IWR + Facilitator,TRCY
BEN,SUN,1,6,1,IWR + Facilitator,TRCY
BEN,SUN,1,6,2,IWR + Facilitator,TROR
BEN,SUN,1,6,3,lambda,TRCY
BEN,SUN,1,6,4,IWR + Facilitator,TROR
BEN,SUN,1,6,5,lambda,TROR
BEN,SUN,1,6,6,IWR + Facilitator,TROR
BEN,SUN,1,6,7,IWR + Facilitator,TROR
BEN,SUN,1,6,8,Invasion when rare (IWR),TROR
BEN,SUN,1,6,9,Invasion when rare (IWR),TROR
BEN,SUN,1,6,10,Invasion when rare (IWR),TRCY
BEN,SUN,1,7,1,IWR + Facilitator,TROR
BEN,SUN,1,7,2,High density monoculture,TRCY
BEN,SUN,1,7,3,Invasion when rare (IWR),TRCY
BEN,SUN,1,7,4,Invasion when rare (IWR),TRCY
BEN,SUN,1,7,5,Invasion when rare (IWR),TRCY
BEN,SUN,1,7,6,lambda,TRCY
BEN,SUN,1,7,7,Invasion when rare (IWR),TROR
BEN,SUN,1,7,8,High density monoculture,TROR
BEN,SUN,1,7,9,IWR + Facilitator,TRCY
BEN,SUN,1,7,10,IWR + Facilitator,TROR
BEN,SUN,1,8,1,lambda,TRCY
BEN,SUN,1,8,2,Invasion when rare (IWR),TROR
BEN,SUN,1,8,3,IWR + Facilitator,TRCY
BEN,SUN,1,8,4,Invasion when rare (IWR),TROR
BEN,SUN,1,8,5,High density monoculture,TROR
BEN,SUN,1,8,6,lambda,TROR
BEN,SUN,1,8,7,lambda,TRCY
BEN,SUN,1,8,8,lambda,TROR
BEN,SUN,1,8,9,High density monoculture,TROR
BEN,SUN,1,8,10,lambda,TROR
BEN,SH,1,1,1,lambda,TROR
BEN,SH,1,1,2,High density monoculture,TROR
BEN,SH,1,1,3,lambda,TRCY
BEN,SH,1,1,4,Invasion when rare (IWR),TROR
BEN,SH,1,1,5,IWR + Facilitator,TRCY
BEN,SH,1,1,6,Invasion when rare (IWR),TRCY
BEN,SH,1,1,7,Invasion when rare (IWR),TRCY
BEN,SH,1,1,8,Invasion when rare (IWR),TROR
BEN,SH,1,1,9,High density monoculture,TRCY
BEN,SH,1,1,10,Invasion when rare (IWR),TRCY
BEN,SH,1,2,1,Invasion when rare (IWR),TRCY
BEN,SH,1,2,2,Invasion when rare (IWR),TRCY
BEN,SH,1,2,3,High density monoculture,TRCY
BEN,SH,1,2,4,IWR + Facilitator,TRCY
BEN,SH,1,2,5,Invasion when rare (IWR),TRCY
BEN,SH,1,2,6,High density monoculture,TROR
