"Site","Cov","focsp","n_fec","mean_fit","mean_intra","mean_inter","mean_fac"
"BEN","SH","TRCY",78,11.5384615384615,1.92307692307692,2.23076923076923,0.371794871794872
"BEN","SH","TROR",77,11.4545454545455,1,5.64935064935065,0.350649350649351
"BEN","SUN","TRCY",69,22.7971014492754,2,3.57971014492754,2.21739130434783
"BEN","SUN","TROR",64,23.203125,1.90625,6.203125,2.296875
"CS","SH","TRCY",10,1.9,2,0.6,0.1
"CS","SH","TROR",9,0.555555555555556,0.555555555555556,0.888888888888889,0
"CS","SUN","TRCY",41,4.63414634146341,2.24390243902439,0.902439024390244,0.121951219512195
"CS","SUN","TROR",29,5.51724137931035,0.655172413793103,4.75862068965517,0.103448275862069
"GH","SH","TRCY",64,7.828125,1.796875,7.15625,0.109375
"GH","SH","TROR",58,6.77586206896552,3.44827586206897,5.75862068965517,0.155172413793103
"GH","SUN","TRCY",91,17.8901098901099,3.32967032967033,3.21978021978022,0.494505494505495
"GH","SUN","TROR",93,17.6344086021505,2.0752688172043,5.93548387096774,0.67741935483871
"NAM","SH","TRCY",71,8.09859154929577,6.19718309859155,4.73239436619718,0.394366197183099
"NAM","SH","TROR",58,8.25862068965517,3.72413793103448,12.3103448275862,0.293103448275862
"NAM","SUN","TRCY",97,25.6701030927835,4.14432989690722,5.37113402061856,0.876288659793814
"NAM","SUN","TROR",86,11.7325581395349,3.11627906976744,9.18604651162791,0.709302325581395
"PJ","SH","TRCY",102,13.1274509803922,8.59803921568627,7.20588235294118,0.294117647058824
"PJ","SH","TROR",100,9.53,3.95,18.01,0.16
"PJ","SUN","TRCY",102,32.6764705882353,3.72549019607843,1.44117647058824,0.0784313725490196
"PJ","SUN","TROR",88,17.1590909090909,1.11363636363636,9.63636363636364,0.0227272727272727
