"Site","Cov","focsp","n_total","n_germ","prop_germ"
"BEN","SH","TRCY",121,78,0.644628099173554
"BEN","SH","TROR",120,77,0.641666666666667
"BEN","SUN","TRCY",120,69,0.575
"BEN","SUN","TROR",120,64,0.533333333333333
"CS","SH","TRCY",120,10,0.0833333333333333
"CS","SH","TROR",120,9,0.075
"CS","SUN","TRCY",120,41,0.341666666666667
"CS","SUN","TROR",120,29,0.241666666666667
"GH","SH","TRCY",120,64,0.533333333333333
"GH","SH","TROR",120,58,0.483333333333333
"GH","SUN","TRCY",120,91,0.758333333333333
"GH","SUN","TROR",120,93,0.775
"NAM","SH","TRCY",120,71,0.591666666666667
"NAM","SH","TROR",120,58,0.483333333333333
"NAM","SUN","TRCY",120,97,0.808333333333333
"NAM","SUN","TROR",120,86,0.716666666666667
"PJ","SH","TRCY",120,102,0.85
"PJ","SH","TROR",120,100,0.833333333333333
"PJ","SUN","TRCY",120,102,0.85
"PJ","SUN","TROR",120,88,0.733333333333333
