Site,Cov,BLK,BLK_cont,Row,Col,fitness,TROR,TRCY,NO_GRASS,focal_sp,CEC,pH,NO3.N,mean_percent_open,precip,pet,water_in_out,PC1,PC2
BEN,SUN,1,1,1,1,10,0,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,1,3,49,0,1,2,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,1,4,64,0,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,1,6,10,0,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,1,7,71,1,0,2,TROR,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,1,8,6,6,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,1,9,8,6,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,1,10,18,2,0,0,TROR,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,2,2,56,2,0,3,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,2,3,105,0,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,2,4,8,0,0,0,TROR,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,2,7,83,0,0,5,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,2,8,17,0,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,2,10,24,0,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,3,6,13,0,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,3,8,34,0,1,6,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,3,9,14,0,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,4,4,15,0,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,4,6,5,2,2,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,4,7,41,1,0,2,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,5,3,4,0,11,4,TROR,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,5,6,21,0,0,0,TROR,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,5,8,60,0,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,5,10,4,4,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,6,4,2,2,4,6,TROR,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,6,8,17,0,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,6,9,14,0,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,6,10,11,1,3,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,7,3,8,0,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,7,5,3,5,2,2,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,7,7,11,0,0,0,TRCY,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
