focsp,Site,Cov,n,fecundity_max,cons_nonzero,hetero_nonzero,fac_nonzero,cons_sd,hetero_sd,fac_sd,flag_low_n,flag_no_cons_variation,flag_no_hetero_variation,flag_no_fac_variation
TRCY,Ben,Sun,69,110,15,34,50,6.579826566639794,5.889686392084171,2.344389831675707,FALSE,FALSE,FALSE,FALSE
TRCY,Ben,Shade,78,90,21,35,12,5.1566858146884025,3.867691942107199,1.0581652138081368,FALSE,FALSE,FALSE,FALSE
TRCY,GH,Sun,91,132,28,40,26,7.315212376433927,4.706501880501054,0.970379380261216,FALSE,FALSE,FALSE,FALSE
TRCY,GH,Shade,64,64,14,35,5,5.139883537374925,8.868024869121934,0.4406772385447524,FALSE,FALSE,FALSE,FALSE
TRCY,Nam,Sun,97,171,29,45,31,9.211620481220141,7.829324667062163,1.6282514391643856,FALSE,FALSE,FALSE,FALSE
TRCY,Nam,Shade,71,92,23,29,17,13.74629271404773,7.2702087737342245,0.8190390403992897,FALSE,FALSE,FALSE,FALSE
TRCY,PJ,Sun,102,241,26,40,8,8.717976037646137,2.6979035844017876,0.27017685846053213,FALSE,FALSE,FALSE,FALSE
TRCY,PJ,Shade,102,124,32,46,9,16.97654748275074,10.741184029810668,1.3685884561327248,FALSE,FALSE,FALSE,FALSE
TRCY,CS,Sun,41,29,13,13,4,4.747528240068078,1.670402317538809,0.3996950056742961,FALSE,FALSE,FALSE,FALSE
TRCY,CS,Shade,10,4,3,3,1,4.422166387140534,0.9660917830792959,0.31622776601683794,FALSE,FALSE,FALSE,FALSE
TROR,Ben,Sun,64,260,18,39,46,4.987981587522183,9.62170114566587,2.414767316011253,FALSE,FALSE,FALSE,FALSE
TROR,Ben,Shade,77,139,17,45,15,2.9424300733988744,10.969774542813724,0.8392702620703449,FALSE,FALSE,FALSE,FALSE
TROR,GH,Sun,93,149,25,45,23,4.078673481979652,8.50550518860132,1.56844765628021,FALSE,FALSE,FALSE,FALSE
TROR,GH,Shade,58,28,17,28,8,7.1895938781749935,9.150420074390576,0.4104650395579806,FALSE,FALSE,FALSE,FALSE
TROR,Nam,Sun,86,98,23,52,24,6.61623423130989,12.086464600493715,2.085616168340087,FALSE,FALSE,FALSE,FALSE
TROR,Nam,Shade,58,41,17,27,12,7.536561418560123,19.164300598322587,0.6756055292964757,FALSE,FALSE,FALSE,FALSE
TROR,PJ,Sun,88,161,21,56,2,2.583910509561256,10.477322877092526,0.1498867562775945,FALSE,FALSE,FALSE,FALSE
TROR,PJ,Shade,100,65,24,53,9,8.899409809054472,22.504542751285673,0.6922368952836299,FALSE,FALSE,FALSE,FALSE
TROR,CS,Sun,29,26,6,23,2,1.3436587063729475,5.6924459493876185,0.40925259281898757,FALSE,FALSE,FALSE,FALSE
TROR,CS,Shade,9,2,2,4,0,1.3333333333333333,1.3642254619787417,0,TRUE,FALSE,FALSE,TRUE
