model,density_form,family_name,usable,n,logLik,AIC,BIC,df,dropped_reason,nonestimable_terms,n_NA_fixed,n_NA_vcov,delta_AIC,species,analysis_label,selection_stage
log1p__zinb2_count,log1p,zinb2_count,TRUE,725,-2606.118202836442,5244.236405672884,5317.615152150559,16,NA,NA,0,0,0,TRCY,primary_full_data_auto_density,density_family
raw__zinb2_count,raw,zinb2_count,TRUE,725,-2611.548449912228,5255.096899824456,5328.475646302131,16,NA,NA,0,0,10.860494151572311,TRCY,primary_full_data_auto_density,density_family
log1p__nb2_count,log1p,nb2_count,TRUE,725,-2622.3202819032877,5274.640563806575,5343.433138629395,15,NA,NA,0,0,30.404158133691453,TRCY,primary_full_data_auto_density,density_family
raw__nb2_count,raw,nb2_count,TRUE,725,-2625.449447567434,5280.898895134868,5349.691469957688,15,NA,NA,0,0,36.66248946198448,TRCY,primary_full_data_auto_density,density_family
log1p__nb1_count,log1p,nb1_count,TRUE,725,-2728.4239486986803,5486.847897397361,5555.6404722201805,15,NA,NA,0,0,242.61149172447676,TRCY,primary_full_data_auto_density,density_family
raw__nb1_count,raw,nb1_count,TRUE,725,-2729.9288067119614,5489.857613423923,5558.650188246743,15,NA,NA,0,0,245.62120775103904,TRCY,primary_full_data_auto_density,density_family
log1p__zip_count,log1p,zip_count,TRUE,725,-5883.483231102524,11796.966462205048,11865.759037027869,15,NA,NA,0,0,6552.730056532164,TRCY,primary_full_data_auto_density,density_family
raw__zip_count,raw,zip_count,TRUE,725,-5952.837116679675,11935.67423335935,12004.466808182171,15,NA,NA,0,0,6691.437827686466,TRCY,primary_full_data_auto_density,density_family
log1p__poisson_count,log1p,poisson_count,TRUE,725,-6669.671150767306,13367.342301534612,13431.548704702578,14,NA,NA,0,0,8123.105895861729,TRCY,primary_full_data_auto_density,density_family
raw__poisson_count,raw,poisson_count,TRUE,725,-6708.20727012215,13444.4145402443,13508.620943412265,14,NA,NA,0,0,8200.178134571415,TRCY,primary_full_data_auto_density,density_family
raw__zinb1_count,raw,zinb1_count,FALSE,725,NA,NA,NA,16,non-positive-definite Hessian; non-finite logLik; non-finite AIC,NA,0,0,NA,TRCY,primary_full_data_auto_density,density_family
log1p__zinb1_count,log1p,zinb1_count,FALSE,725,NA,NA,NA,16,non-positive-definite Hessian; non-finite logLik; non-finite AIC,NA,0,0,NA,TRCY,primary_full_data_auto_density,density_family
