term,estimate,std_error,z_value,p_value,species,analysis_label,density_form,family_name,final_model_name,n,AIC
(Intercept),2.234181899280015,0.10922818006513077,20.45426279141347,5.504807178115902e-93,TRCY,primary_full_data_auto_density,log1p,zinb2_count,additive,725,5238.192696574664
Site1,0.1853336089478023,0.21209445758245307,0.8738257994118147,0.38221312815689884,TRCY,primary_full_data_auto_density,log1p,zinb2_count,additive,725,5238.192696574664
Site2,0.07931492674860557,0.20940254338392614,0.3787677335092666,0.70486035009461,TRCY,primary_full_data_auto_density,log1p,zinb2_count,additive,725,5238.192696574664
Site3,0.12277037024498706,0.2089859953286194,0.5874574037936713,0.5568965505064466,TRCY,primary_full_data_auto_density,log1p,zinb2_count,additive,725,5238.192696574664
Site4,0.7472748857413575,0.20477506016593724,3.6492475457500118,2.6300956773233676e-4,TRCY,primary_full_data_auto_density,log1p,zinb2_count,additive,725,5238.192696574664
Cov1,0.41345156573459385,0.10801095684588544,3.8278668924720654,1.292586228541593e-4,TRCY,primary_full_data_auto_density,log1p,zinb2_count,additive,725,5238.192696574664
cons_x,-0.20442321580825706,0.03960233774629044,-5.161897691946366,2.4445889054148546e-7,TRCY,primary_full_data_auto_density,log1p,zinb2_count,additive,725,5238.192696574664
hetero_x,-0.24339995530486816,0.04040912097784864,-6.0233914872410725,1.7079963650722583e-9,TRCY,primary_full_data_auto_density,log1p,zinb2_count,additive,725,5238.192696574664
fac_x,0.1639826010379173,0.03940242609854204,4.16173868654207,3.158336448993199e-5,TRCY,primary_full_data_auto_density,log1p,zinb2_count,additive,725,5238.192696574664
(Intercept),2.140888160583553,0.09791041670250589,21.865785405535505,5.501049911783133e-106,TROR,primary_full_data_auto_density,log1p,zinb2_count,fac_by_density,662,4563.7982768255415
Site1,0.3844060905348834,0.18038977892743235,2.130974896806782,0.0330912103237219,TROR,primary_full_data_auto_density,log1p,zinb2_count,fac_by_density,662,4563.7982768255415
Site2,0.1989297531456462,0.17527683342999856,1.1349460693280613,0.25639791558003006,TROR,primary_full_data_auto_density,log1p,zinb2_count,fac_by_density,662,4563.7982768255415
