species,Site,Cov,n,fecundity_zeros,fecundity_zero_prop,fac_min,fac_median,fac_max,fac_sd,fac_unique,fac_positive_n,fac_positive_prop,cons_unique,hetero_unique,both_cons_hetero_positive_n,weak_fac_support,weak_density_pair_support
TRCY,Ben,Sun,69,9,0.13043478260869565,0,2,8,2.344389831675707,9,50,0.7246376811594203,10,17,0,FALSE,TRUE
TRCY,Ben,Shade,78,10,0.1282051282051282,0,0,5,1.0581652138081368,6,12,0.15384615384615385,12,15,0,FALSE,TRUE
TRCY,GH,Sun,91,12,0.13186813186813187,0,0,4,0.970379380261216,5,26,0.2857142857142857,19,16,0,FALSE,TRUE
TRCY,GH,Shade,64,7,0.109375,0,0,3,0.4406772385447524,3,5,0.078125,11,22,0,FALSE,TRUE
TRCY,Nam,Sun,97,9,0.09278350515463918,0,0,7,1.6282514391643856,8,31,0.31958762886597936,20,24,0,FALSE,TRUE
TRCY,Nam,Shade,71,9,0.1267605633802817,0,0,3,0.8190390403992897,4,17,0.23943661971830985,15,16,0,FALSE,TRUE
TRCY,PJ,Sun,102,5,0.049019607843137254,0,0,1,0.27017685846053213,2,8,0.0784313725490196,18,12,0,TRUE,TRUE
TRCY,PJ,Shade,102,6,0.058823529411764705,0,0,10,1.3685884561327248,6,9,0.08823529411764706,23,25,0,FALSE,TRUE
TRCY,CS,Sun,41,9,0.21951219512195122,0,0,2,0.3996950056742961,3,4,0.0975609756097561,10,5,0,TRUE,TRUE
TRCY,CS,Shade,10,2,0.2,0,0,1,0.31622776601683794,2,1,0.1,4,2,0,TRUE,TRUE
TROR,Ben,Sun,64,8,0.125,0,2,10,2.414767316011253,10,46,0.71875,11,19,0,FALSE,TRUE
TROR,Ben,Shade,77,8,0.1038961038961039,0,0,4,0.8392702620703449,5,15,0.19480519480519481,9,18,0,FALSE,TRUE
TROR,GH,Sun,93,10,0.10752688172043011,0,0,9,1.56844765628021,8,23,0.24731182795698925,14,24,0,FALSE,TRUE
TROR,GH,Shade,58,6,0.10344827586206896,0,0,2,0.4104650395579806,3,8,0.13793103448275862,14,19,0,FALSE,TRUE
TROR,Nam,Sun,86,10,0.11627906976744186,0,0,17,2.085616168340087,7,24,0.27906976744186046,16,29,0,FALSE,TRUE
TROR,Nam,Shade,58,3,0.05172413793103448,0,0,3,0.6756055292964757,4,12,0.20689655172413793,15,21,0,FALSE,TRUE
TROR,PJ,Sun,88,9,0.10227272727272728,0,0,1,0.1498867562775945,2,2,0.022727272727272728,11,29,0,TRUE,TRUE
TROR,PJ,Shade,100,6,0.06,0,0,6,0.6922368952836299,4,9,0.09,18,37,0,FALSE,TRUE
TROR,CS,Sun,29,10,0.3448275862068966,0,0,2,0.40925259281898757,3,2,0.06896551724137931,4,10,0,TRUE,TRUE
TROR,CS,Shade,9,6,0.6666666666666666,0,0,0,0,1,0,0,3,4,0,TRUE,TRUE
