species,analysis_label,model,usable,n,logLik,AIC,BIC,df,dropped_reason,nonestimable_terms,n_NA_fixed,n_NA_vcov,delta_AIC
TRCY,primary_full_data_auto_density,additive,TRUE,725,-2607.096348287332,5238.192696574664,5293.22675643292,12,NA,NA,0,0,0
TRCY,primary_full_data_auto_density,fac_by_density,TRUE,725,-2605.8263404282184,5239.652680856437,5303.859084024402,14,NA,NA,0,0,1.4599842817724493
TRCY,primary_full_data_auto_density,fac_by_cover,TRUE,725,-2606.848151621542,5239.696303243084,5299.316534756194,13,NA,NA,0,0,1.5036066684197067
TRCY,primary_full_data_auto_density,site_cover,TRUE,725,-2606.118202836442,5244.236405672884,5317.615152150559,16,NA,NA,0,0,6.043709098219551
TRCY,primary_full_data_auto_density,fac_by_site,TRUE,725,-2606.584037344049,5245.168074688098,5318.5468211657735,16,NA,NA,0,0,6.97537811343409
TRCY,primary_full_data_auto_density,site_cover_fac_by_density,TRUE,725,-2604.7352860577557,5245.4705721155115,5328.021661902895,18,NA,NA,0,0,7.2778755408471625
TRCY,primary_full_data_auto_density,fac_by_site_cover,TRUE,725,-2606.3320733791315,5246.664146758263,5324.6290648907925,17,NA,NA,0,0,8.47145018359879
TRCY,primary_full_data_auto_density,site_cover_fac_context,TRUE,725,-2605.422304770104,5252.844609540208,5349.154214292156,21,NA,NA,0,0,14.651912965543488
TRCY,primary_full_data_auto_density,broad_facilitation_context,TRUE,725,-2603.8738213027423,5253.7476426054845,5359.2295906671425,23,NA,NA,0,0,15.554946030820247
TROR,primary_full_data_auto_density,site_cover_fac_by_density,TRUE,662,-2263.2392279922396,4562.478455984479,4643.393235991345,18,NA,NA,0,0,0
TROR,primary_full_data_auto_density,fac_by_density,TRUE,662,-2267.8991384127708,4563.7982768255415,4626.73199460866,14,NA,NA,0,0,1.31982084106221
TROR,primary_full_data_auto_density,broad_facilitation_context,TRUE,662,-2260.275826181091,4566.551652362182,4669.942760148733,23,NA,NA,0,0,4.073196377702516
TROR,primary_full_data_auto_density,site_cover,TRUE,662,-2269.38143934277,4570.76287868554,4642.687127580532,16,NA,NA,0,0,8.284422701060976
TROR,primary_full_data_auto_density,additive,TRUE,662,-2274.068702391975,4572.13740478395,4626.080591455194,12,NA,NA,0,0,9.658948799470636
TROR,primary_full_data_auto_density,fac_by_cover,TRUE,662,-2273.319733639983,4572.639467279966,4631.077919507147,13,NA,NA,0,0,10.161011295486787
TROR,primary_full_data_auto_density,site_cover_fac_context,TRUE,662,-2266.5200735618832,4575.0401471237665,4669.440723798443,21,NA,NA,0,0,12.561691139287177
TROR,primary_full_data_auto_density,fac_by_site,TRUE,662,-2271.8039282443488,4575.6078564886975,4647.53210538369,16,NA,NA,0,0,13.12940050421821
TROR,primary_full_data_auto_density,fac_by_site_cover,TRUE,662,-2271.141520985506,4576.283041971012,4652.702556421941,17,NA,NA,0,0,13.804585986532402
TROR,TROR_no_outliers_auto_density,fac_by_density,TRUE,621,-2027.6004659936377,4083.2009319872755,4145.239567134344,14,NA,NA,0,0,0
TROR,TROR_no_outliers_auto_density,site_cover_fac_by_density,TRUE,621,-2024.2589799526024,4084.517959905205,4164.281919380008,18,NA,NA,0,0,1.3170279179294084
TROR,TROR_no_outliers_auto_density,additive,TRUE,621,-2038.4115131215287,4100.823026243057,4153.998999226259,12,NA,NA,0,0,17.622094255781576
TROR,TROR_no_outliers_auto_density,site_cover,TRUE,621,-2035.0881291807098,4102.17625836142,4173.077555672355,16,NA,NA,0,0,18.975326374144515
TROR,TROR_no_outliers_auto_density,fac_by_cover,TRUE,621,-2038.2823564917755,4102.564712983551,4160.172017048686,13,NA,NA,0,0,19.36378099627518
TROR,TROR_no_outliers_auto_density,fac_by_site_cover,TRUE,621,-2036.1186385442727,4106.237277088545,4181.569905481415,17,NA,NA,0,0,23.03634510126949
TROR,TROR_no_outliers_auto_density,site_cover_fac_context,TRUE,621,-2032.7504077292476,4107.500815458496,4200.5587681790985,21,NA,NA,0,0,24.299883471220255
TROR,TROR_no_outliers_auto_density,fac_by_site,FALSE,621,NA,NA,NA,16,non-positive-definite Hessian; NA fixed-effect covariance entries; non-finite logLik; non-finite AIC,NA,0,169,NA
TROR,TROR_no_outliers_auto_density,broad_facilitation_context,FALSE,621,NA,NA,NA,23,non-positive-definite Hessian; NA fixed-effect covariance entries; non-finite logLik; non-finite AIC,NA,0,400,NA
TROR,TROR_no_outliers_raw_density_forced,fac_by_density,TRUE,621,-2043.9586331290022,4115.917266258004,4177.955901405073,14,NA,NA,0,0,1.0211760018410132
TROR,TROR_no_outliers_raw_density_forced,site_cover_fac_by_density,TRUE,621,-2040.8498938654704,4117.69978773094,4197.463747205744,18,NA,NA,0,0,2.8036974747774366
TROR,TROR_no_outliers_raw_density_forced,additive,TRUE,621,-2047.3378977423024,4118.675795484605,4171.851768467806,12,NA,NA,0,0,3.7797052284422534
TROR,TROR_no_outliers_raw_density_forced,fac_by_cover,TRUE,621,-2046.424888539412,4118.8497770788235,4176.457081143959,13,NA,NA,0,0,3.9536868226605293
TROR,TROR_no_outliers_raw_density_forced,broad_facilitation_context,TRUE,621,-2036.8311542882477,4119.662308576495,4221.5829234609655,23,NA,NA,0,0,4.766218320331973
TROR,TROR_no_outliers_raw_density_forced,site_cover,TRUE,621,-2044.2580219705244,4120.516043941048,4191.417341251985,16,NA,NA,0,0,5.619953684885331
TROR,TROR_no_outliers_raw_density_forced,fac_by_site,TRUE,621,-2045.7268741675318,4123.453748335063,4194.355045646,16,NA,NA,0,0,8.557658078900204
TROR,TROR_no_outliers_raw_density_forced,fac_by_site_cover,FALSE,621,NA,NA,NA,17,non-positive-definite Hessian; NA fixed-effect covariance entries; non-finite logLik; non-finite AIC,NA,0,196,NA
TROR,TROR_no_outliers_raw_density_forced,site_cover_fac_context,FALSE,621,NA,NA,NA,21,non-positive-definite Hessian; NA fixed-effect covariance entries; non-finite logLik; non-finite AIC,NA,0,324,NA
