contrast,ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value,percent_change,lower_percent,upper_percent
Ben / GH,1.1128410676556455,0.3672624084284192,Inf,0.4523449586896765,2.737767312469488,1,0.32396675670135777,0.997623172226149,11.28410676556455,-54.76550413103235,173.7767312469488
Ben / Nam,1.0655627983810612,0.3501825778242166,Inf,0.4347681079744765,2.6115624777159003,1,0.1932322010488703,0.9996895825254342,6.556279838106116,-56.523189202552345,161.15624777159005
Ben / PJ,0.5704560541158076,0.1854721956269168,Inf,0.2349929979059264,1.3848076860896552,1,-1.7264469340049176,0.41755809363433594,-42.95439458841924,-76.50070020940736,38.48076860896552
Ben / CS,3.745882692379747,1.4024855869561743,Inf,1.348993582318233,10.401559598939606,1,3.5273284260852193,0.0038440197650730923,274.58826923797466,34.89935823182331,940.1559598939606
GH / Nam,0.9575157040401262,0.31312656946947576,Inf,0.39240950846674005,2.336427389503912,1,-0.13275392004091696,0.999930208072642,-4.24842959598738,-60.759049153325996,133.6427389503912
GH / PJ,0.5126123313525377,0.16504018067211504,Inf,0.21299915819981938,1.2336734308037594,1,-2.075529179821152,0.23067809831514308,-48.73876686474623,-78.70008418001805,23.367343080375935
GH / CS,3.3660536093181475,1.2482975932968254,Inf,1.2240299318657297,9.256568492188318,1,3.2728712856738977,0.00940626378010112,236.60536093181474,22.40299318657297,825.6568492188318
Nam / PJ,0.5353565786854769,0.172389906308664,Inf,0.2224191692759374,1.2885879723174833,1,-1.9403845052063409,0.29586614222152896,-46.464342131452305,-77.75808307240627,28.858797231748333
Nam / CS,3.5154030321544343,1.3036984279298993,Inf,1.278324643700814,9.667386558944363,1,3.3898971719427142,0.0062882481605498475,251.54030321544343,27.8324643700814,866.7386558944363
PJ / CS,6.566470222120387,2.4049496885818358,Inf,2.4179918566500214,17.832372371068207,1,5.13854499866666,2.7506214551609176e-6,556.6470222120387,141.79918566500214,1683.2372371068207
