contrast,ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value,percent_change,lower_percent,upper_percent
Ben / GH,1.202553223188796,0.3296398483726594,Inf,0.569337790485034,2.540028571386,1,0.6728777311583873,0.962269601965662,20.25532231887961,-43.066220951496604,154.00285713859998
Ben / Nam,1.520420234970821,0.4216602810283857,Inf,0.7135443133900289,3.239711462244035,1,1.5107800934270035,0.5553951052240961,52.04202349708209,-28.64556866099711,223.97114622440347
Ben / PJ,0.9005128873315781,0.2438531325489116,Inf,0.4302216808872131,1.8848967782793988,1,-0.3869766516213773,0.995260409318212,-9.948711266842192,-56.9778319112787,88.48967782793989
Ben / CS,4.124416181068145,1.4428385709086307,Inf,1.5883108536809518,10.709999742955697,1,4.050339630409374,4.907539938274752e-4,312.4416181068145,58.83108536809518,970.9999742955697
GH / Nam,1.2643267721150344,0.3452539626221566,Inf,0.6002898017306801,2.662917447669715,1,0.858889283959776,0.9117997427173853,26.432677211503442,-39.971019826931986,166.29174476697148
GH / PJ,0.7488341222384309,0.19856343275592792,Inf,0.3632936466598659,1.5435242201017805,1,-1.0907905867310776,0.8114078766776311,-25.116587776156905,-63.670635334013404,54.352422010178046
GH / CS,3.429716125271761,1.180779104707844,Inf,1.3409283394503064,8.772245580827374,1,3.5798803716092804,0.003167314167693669,242.9716125271761,34.09283394503064,777.2245580827373
Nam / PJ,0.5922789414525651,0.158786419038296,Inf,0.2850537663727271,1.2306251867918967,1,-1.9537088039678023,0.2890030390148297,-40.77210585474349,-71.4946233627273,23.06251867918967
Nam / CS,2.712681721936763,0.9407870378114891,Inf,1.0532876596961092,6.98635558556994,1,2.8774709675490766,0.032706618448689606,171.26817219367632,5.328765969610916,598.6355585569939
PJ / CS,4.58007457648909,1.569026521858702,Inf,1.7990226060102856,11.660266555917747,1,4.441970466647176,8.718067391000339e-5,358.007457648909,79.90226060102856,1066.0266555917747
