Site,Cov,BLK,Col,Row,TROR,TRCY,NO_GRASS,NO_FORB,NO_FOCAL,FOCAL_GERM,CHANGED_FOCAL,NOTES
PJ,SUN,1,1,1,8,0,0,0,1,Y,0,
PJ,SUN,1,1,2,0,0,0,0,0,N,0,
PJ,SUN,1,1,3,0,15,0,0,1,Y,0,
PJ,SUN,1,1,4,0,0,0,0,1,Y,0,
PJ,SUN,1,1,5,0,3,0,0,1,Y,0,
PJ,SUN,1,1,6,1,0,1,1,1,Y,0,
PJ,SUN,1,1,7,0,0,0,0,0,N,0,
PJ,SUN,1,1,8,0,21,0,0,1,Y,0,
PJ,SUN,1,2,1,5,0,0,1,1,Y,0,
PJ,SUN,1,2,2,0,20,0,0,1,Y,0,
PJ,SUN,1,2,3,0,0,0,0,0,N,0,
PJ,SUN,1,2,4,5,0,0,0,1,Y,0,
PJ,SUN,1,2,5,0,16,0,2,1,Y,0,
PJ,SUN,1,2,6,0,0,0,2,2,Y,0,
PJ,SUN,1,2,7,0,7,0,0,1,Y,0,
PJ,SUN,1,2,8,0,0,0,0,1,Y,0,
PJ,SUN,1,3,1,2,0,0,4,1,Y,0,
PJ,SUN,1,3,2,1,0,0,4,1,Y,0,
PJ,SUN,1,3,3,0,22,0,0,1,Y,0,
PJ,SUN,1,3,4,0,23,0,0,1,Y,0,
PJ,SUN,1,3,5,0,0,0,0,2,Y,0,
PJ,SUN,1,3,6,0,0,0,0,0,N,0,
PJ,SUN,1,3,7,11,0,0,3,1,Y,0,
PJ,SUN,1,3,8,0,8,0,0,1,Y,0,
PJ,SUN,1,4,1,0,0,0,0,1,Y,0,
PJ,SUN,1,4,2,0,0,0,0,0,N,0,
PJ,SUN,1,4,3,0,0,0,0,1,Y,0,
PJ,SUN,1,4,4,0,0,0,0,1,Y,0,
PJ,SUN,1,4,5,3,0,0,0,1,Y,0,
PJ,SUN,1,4,6,0,25,0,0,1,Y,0,
PJ,SUN,1,4,7,0,0,0,0,1,Y,0,
PJ,SUN,1,4,8,0,9,0,0,1,Y,0,
PJ,SUN,1,5,1,0,28,0,0,1,Y,0,
PJ,SUN,1,5,2,0,18,1,0,1,Y,0,
PJ,SUN,1,5,3,0,0,0,0,1,Y,0,
PJ,SUN,1,5,4,0,0,0,0,1,Y,0,
PJ,SUN,1,5,5,0,0,1,0,2,Y,0,
PJ,SUN,1,5,6,0,0,0,0,0,N,0,
PJ,SUN,1,5,7,0,0,0,0,0,N,0,
PJ,SUN,1,5,8,0,0,0,0,0,N,0,
PJ,SUN,1,6,1,0,21,0,0,1,Y,0,
PJ,SUN,1,6,2,0,0,0,0,0,N,0,
PJ,SUN,1,6,3,1,0,0,0,1,Y,0,
PJ,SUN,1,6,4,0,0,0,0,0,N,0,
PJ,SUN,1,6,5,0,25,0,0,1,Y,0,
PJ,SUN,1,6,6,5,0,0,0,2,Y,0,
PJ,SUN,1,6,7,0,18,0,0,1,Y,0,
PJ,SUN,1,6,8,0,0,0,0,0,N,0,
PJ,SUN,1,7,1,0,0,0,0,0,N,0,
PJ,SUN,1,7,2,0,0,0,0,0,N,0,
PJ,SUN,1,7,3,1,0,0,0,1,Y,0,
