Site,Cov,BLK,Row,Col,dens_trt,CEC,pH,NO3.N,mean_percent_open,precip,pet,water_in_out,PC1,PC2
BEN,SUN,1,1,1,Invasion when rare (IWR),553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,2,lambda,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,3,High density monoculture,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,4,High density monoculture,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,5,IWR + Facilitator,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,6,Invasion when rare (IWR),553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,7,lambda,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,8,IWR + Facilitator,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,9,Invasion when rare (IWR),553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,1,10,High density monoculture,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,2,1,High density monoculture,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,2,2,Invasion when rare (IWR),553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,2,3,IWR + Facilitator,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,2,4,IWR + Facilitator,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,2,5,Invasion when rare (IWR),553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,2,6,High density monoculture,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,2,7,IWR + Facilitator,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,2,8,lambda,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,2,9,lambda,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,2,10,Invasion when rare (IWR),553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,3,1,lambda,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,3,2,High density monoculture,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,3,3,lambda,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,3,4,lambda,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,3,5,IWR + Facilitator,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,3,6,High density monoculture,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,3,7,High density monoculture,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
BEN,SUN,1,3,8,High density monoculture,553.9,5.66,0.9,96.2,119.6,1718.6,0.069591528,-0.533317135,-0.073662625
